mating_type,mating,heredity,leakage,select
defined,0.1,uniform,0.1,TRUE
observed,0.1,uniform,0.1,TRUE
defined,0.5,uniform,0.1,TRUE
defined,0.9,uniform,0.1,TRUE
defined,0.1,preston,0.1,TRUE
observed,0.1,preston,0.1,TRUE
defined,0.5,preston,0.1,TRUE
defined,0.9,preston,0.1,TRUE
defined,0.1,observed,0.1,TRUE
observed,0.1,observed,0.1,TRUE
defined,0.5,observed,0.1,TRUE
defined,0.9,observed,0.1,TRUE
defined,0.1,preston,0.3,TRUE
observed,0.1,preston,0.3,TRUE
defined,0.5,preston,0.3,TRUE
defined,0.9,preston,0.3,TRUE
defined,0.1,preston,0.5,TRUE
observed,0.1,preston,0.5,TRUE
defined,0.5,preston,0.5,TRUE
defined,0.9,preston,0.5,TRUE
