iteration,random-mating,genes
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
1,0.1,0.1
