iteration,random-mating,vertical-trans
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
0,0.1,0.05
1,0.1,0.25
1,0.1,0.25
1,0.1,0.25
1,0.1,0.25
1,0.1,0.25
1,0.1,0.25
1,0.1,0.25
1,0.1,0.25
1,0.1,0.25
1,0.1,0.25
2,0.1,0.5
2,0.1,0.5
2,0.1,0.5
2,0.1,0.5
2,0.1,0.5
2,0.1,0.5
2,0.1,0.5
2,0.1,0.5
2,0.1,0.5
2,0.1,0.5
3,0.5,0.05
3,0.5,0.05
3,0.5,0.05
3,0.5,0.05
3,0.5,0.05
3,0.5,0.05
3,0.5,0.05
3,0.5,0.05
3,0.5,0.05
3,0.5,0.05
4,0.5,0.25
4,0.5,0.25
4,0.5,0.25
4,0.5,0.25
4,0.5,0.25
4,0.5,0.25
4,0.5,0.25
4,0.5,0.25
4,0.5,0.25
4,0.5,0.25
5,0.5,0.5
5,0.5,0.5
5,0.5,0.5
5,0.5,0.5
5,0.5,0.5
5,0.5,0.5
5,0.5,0.5
5,0.5,0.5
5,0.5,0.5
5,0.5,0.5
6,0.9,0.05
6,0.9,0.05
6,0.9,0.05
6,0.9,0.05
6,0.9,0.05
6,0.9,0.05
6,0.9,0.05
6,0.9,0.05
6,0.9,0.05
6,0.9,0.05
7,0.9,0.25
7,0.9,0.25
7,0.9,0.25
7,0.9,0.25
7,0.9,0.25
7,0.9,0.25
7,0.9,0.25
7,0.9,0.25
7,0.9,0.25
7,0.9,0.25
8,0.9,0.5
8,0.9,0.5
8,0.9,0.5
8,0.9,0.5
8,0.9,0.5
8,0.9,0.5
8,0.9,0.5
8,0.9,0.5
8,0.9,0.5
8,0.9,0.5
