father,mother,kid,oprop,tprop
1,1,1,0,0
1,1,2,0.714285714,0
1,1,3,0.285714286,0
1,1,4,0,0
1,2,1,0.112359551,0
1,2,2,0.719101124,0
1,2,3,0.112359551,0
1,2,4,0.056179775,0
1,3,1,0.142857143,0
1,3,2,0.428571429,0
1,3,3,0.142857143,0
1,3,4,0.285714286,0
1,4,1,0,0
1,4,2,0,0
1,4,3,0,0
1,4,4,0,0
2,1,1,0.161290323,0
2,1,2,0.64516129,0
2,1,3,0.161290323,0
2,1,4,0.032258065,0
2,2,1,0.163017032,0
2,2,2,0.637469586,0
2,2,3,0.135036496,0
2,2,4,0.064476886,0
2,3,1,0.117206983,0
2,3,2,0.583541147,0
2,3,3,0.182044888,0
2,3,4,0.117206983,0
2,4,1,0.044444444,0
2,4,2,0.544444444,0
2,4,3,0.2,0
2,4,4,0.211111111,0
3,1,1,0.130434783,0
3,1,2,0.695652174,0
3,1,3,0.130434783,0
3,1,4,0.043478261,0
3,2,1,0.102941176,0
3,2,2,0.595588235,0
3,2,3,0.224264706,0
3,2,4,0.077205882,0
3,3,1,0.069124424,0
3,3,2,0.564516129,0
3,3,3,0.207373272,0
3,3,4,0.158986175,0
3,4,1,0.04778157,0
3,4,2,0.484641638,0
3,4,3,0.262798635,0
3,4,4,0.204778157,0
4,1,1,0.352941176,0
4,1,2,0.529411765,0
4,1,3,0.058823529,0
4,1,4,0.058823529,0
4,2,1,0.078947368,0
4,2,2,0.592105263,0
4,2,3,0.197368421,0
4,2,4,0.131578947,0
4,3,1,0.024390244,0
4,3,2,0.43902439,0
4,3,3,0.231707317,0
4,3,4,0.304878049,0
4,4,1,0.017964072,0
4,4,2,0.356287425,0
4,4,3,0.284431138,0
4,4,4,0.341317365,0
