father,mother,fprop,mprop,tprop
1,1,0.068027211,0.094339623,0
1,2,0.843537415,0.069977427,0
1,3,0.068027211,0.007955449,0
1,4,0.020408163,0.003051882,0
2,1,0.024585783,0.433962264,0
2,2,0.612506681,0.646726862,0
2,3,0.290219134,0.431980907,0
2,4,0.072688402,0.138351984,0
3,1,0.02211127,0.29245283,0
3,2,0.278887304,0.220654628,0
3,3,0.417261056,0.465393795,0
3,4,0.281740371,0.401831129,0
4,1,0.02722063,0.179245283,0
4,2,0.159025788,0.062641084,0
4,3,0.170487106,0.094669849,0
4,4,0.643266476,0.456765005,0
