random_mating,leakage,fertility
0.01171875,0.19921875,0.087890625
0.19140625,0.19921875,0.087890625
0.01171875,0.54140625,0.087890625
0.01171875,0.19921875,0.202734375
0.01171875,0.54140625,0.202734375
0.19140625,0.19921875,0.202734375
0.19140625,0.54140625,0.087890625
0.19140625,0.54140625,0.202734375
0.51171875,0.49921875,0.237890625
0.69140625,0.49921875,0.237890625
0.51171875,0.24140625,0.237890625
0.51171875,0.49921875,0.052734375
0.51171875,0.24140625,0.052734375
0.69140625,0.49921875,0.052734375
0.69140625,0.24140625,0.237890625
0.69140625,0.24140625,0.052734375
0.76171875,0.04921875,0.012890625
0.44140625,0.04921875,0.012890625
0.76171875,0.09140625,0.012890625
0.76171875,0.04921875,0.12773437499999998
0.76171875,0.09140625,0.12773437499999998
0.44140625,0.04921875,0.12773437499999998
0.44140625,0.09140625,0.012890625
0.44140625,0.09140625,0.12773437499999998
0.26171875,0.34921874999999997,0.16289062499999998
0.94140625,0.34921874999999997,0.16289062499999998
0.26171875,0.39140625,0.16289062499999998
0.26171875,0.34921874999999997,0.277734375
0.26171875,0.39140625,0.277734375
0.94140625,0.34921874999999997,0.277734375
0.94140625,0.39140625,0.16289062499999998
0.94140625,0.39140625,0.277734375
0.38671875,0.12421874999999999,0.275390625
0.81640625,0.12421874999999999,0.275390625
0.38671875,0.31640625,0.275390625
0.38671875,0.12421874999999999,0.165234375
0.38671875,0.31640625,0.165234375
0.81640625,0.12421874999999999,0.165234375
0.81640625,0.31640625,0.275390625
0.81640625,0.31640625,0.165234375
0.88671875,0.42421875,0.125390625
0.31640625,0.42421875,0.125390625
0.88671875,0.01640625,0.125390625
0.88671875,0.42421875,0.015234375
0.88671875,0.01640625,0.015234375
0.31640625,0.42421875,0.015234375
0.31640625,0.01640625,0.125390625
0.31640625,0.01640625,0.015234375
0.63671875,0.27421875,0.200390625
0.56640625,0.27421875,0.200390625
0.63671875,0.16640625,0.200390625
0.63671875,0.27421875,0.09023437499999999
0.63671875,0.16640625,0.09023437499999999
0.56640625,0.27421875,0.09023437499999999
0.56640625,0.16640625,0.200390625
0.56640625,0.16640625,0.09023437499999999
0.13671875,0.57421875,0.050390625
0.06640625,0.57421875,0.050390625
0.13671875,0.46640624999999997,0.050390625
0.13671875,0.57421875,0.240234375
0.13671875,0.46640624999999997,0.240234375
0.06640625,0.57421875,0.240234375
0.06640625,0.46640624999999997,0.050390625
0.06640625,0.46640624999999997,0.240234375
0.19921875,0.01171875,0.219140625
0.25390625,0.01171875,0.219140625
0.19921875,0.27890624999999997,0.219140625
0.19921875,0.01171875,0.29648437499999997
0.19921875,0.27890624999999997,0.29648437499999997
0.25390625,0.01171875,0.29648437499999997
0.25390625,0.27890624999999997,0.219140625
0.25390625,0.27890624999999997,0.29648437499999997
0.69921875,0.31171875,0.069140625
0.75390625,0.31171875,0.069140625
0.69921875,0.57890625,0.069140625
0.69921875,0.31171875,0.146484375
0.69921875,0.57890625,0.146484375
0.75390625,0.31171875,0.146484375
0.75390625,0.57890625,0.069140625
0.75390625,0.57890625,0.146484375
0.94921875,0.16171875,0.294140625
0.00390625,0.16171875,0.294140625
0.94921875,0.42890625,0.294140625
0.94921875,0.16171875,0.071484375
0.94921875,0.42890625,0.071484375
0.00390625,0.16171875,0.071484375
0.00390625,0.42890625,0.294140625
0.00390625,0.42890625,0.071484375
0.44921875,0.46171874999999996,0.144140625
0.50390625,0.46171874999999996,0.144140625
0.44921875,0.12890625,0.144140625
0.44921875,0.46171874999999996,0.22148437499999998
0.44921875,0.12890625,0.22148437499999998
0.50390625,0.46171874999999996,0.22148437499999998
0.50390625,0.12890625,0.144140625
0.50390625,0.12890625,0.22148437499999998
0.32421875,0.23671874999999998,0.031640625
0.62890625,0.23671874999999998,0.031640625
0.32421875,0.053906249999999996,0.031640625
0.32421875,0.23671874999999998,0.258984375
0.32421875,0.053906249999999996,0.258984375
0.62890625,0.23671874999999998,0.258984375
0.62890625,0.053906249999999996,0.031640625
0.62890625,0.053906249999999996,0.258984375
0.82421875,0.53671875,0.181640625
0.12890625,0.53671875,0.181640625
0.82421875,0.35390625,0.181640625
0.82421875,0.53671875,0.108984375
0.82421875,0.35390625,0.108984375
0.12890625,0.53671875,0.108984375
0.12890625,0.35390625,0.181640625
0.12890625,0.35390625,0.108984375
0.57421875,0.08671875,0.106640625
0.87890625,0.08671875,0.106640625
0.57421875,0.50390625,0.106640625
0.57421875,0.08671875,0.033984375
0.57421875,0.50390625,0.033984375
0.87890625,0.08671875,0.033984375
0.87890625,0.50390625,0.106640625
0.87890625,0.50390625,0.033984375
0.07421875,0.38671875,0.256640625
0.37890625,0.38671875,0.256640625
0.07421875,0.20390624999999998,0.256640625
