father,mother,kid,oprop,tprop
0,0,0,0,0
0,0,1,0.714285714,0
0,0,2,0.285714286,0
0,0,3,0,0
0,1,0,0.112359551,0
0,1,1,0.719101124,0
0,1,2,0.112359551,0
0,1,3,0.056179775,0
0,2,0,0.142857143,0
0,2,1,0.428571429,0
0,2,2,0.142857143,0
0,2,3,0.285714286,0
0,3,0,0,0
0,3,1,0,0
0,3,2,0,0
0,3,3,0,0
1,0,0,0.161290323,0
1,0,1,0.64516129,0
1,0,2,0.161290323,0
1,0,3,0.032258065,0
1,1,0,0.163017032,0
1,1,1,0.637469586,0
1,1,2,0.135036496,0
1,1,3,0.064476886,0
1,2,0,0.117206983,0
1,2,1,0.583541147,0
1,2,2,0.182044888,0
1,2,3,0.117206983,0
1,3,0,0.044444444,0
1,3,1,0.544444444,0
1,3,2,0.2,0
1,3,3,0.211111111,0
2,0,0,0.130434783,0
2,0,1,0.695652174,0
2,0,2,0.130434783,0
2,0,3,0.043478261,0
2,1,0,0.102941176,0
2,1,1,0.595588235,0
2,1,2,0.224264706,0
2,1,3,0.077205882,0
2,2,0,0.069124424,0
2,2,1,0.564516129,0
2,2,2,0.207373272,0
2,2,3,0.158986175,0
2,3,0,0.04778157,0
2,3,1,0.484641638,0
2,3,2,0.262798635,0
2,3,3,0.204778157,0
3,0,0,0.352941176,0
3,0,1,0.529411765,0
3,0,2,0.058823529,0
3,0,3,0.058823529,0
3,1,0,0.078947368,0
3,1,1,0.592105263,0
3,1,2,0.197368421,0
3,1,3,0.131578947,0
3,2,0,0.024390244,0
3,2,1,0.43902439,0
3,2,2,0.231707317,0
3,2,3,0.304878049,0
3,3,0,0.017964072,0
3,3,1,0.356287425,0
3,3,2,0.284431138,0
3,3,3,0.341317365,0
