father,mother,kid,oprop,tprop
0,0,0,0.374753451676529,0
0,0,1,0.570019723865878,0
0,0,2,0.0512820512820513,0
0,0,3,0.00394477317554241,0
0,1,0,0.365159128978224,0
0,1,1,0.591289782244556,0
0,1,2,0.0343383584589615,0
0,1,3,0.00921273031825796,0
0,2,0,0.316628701594533,0
0,2,1,0.583143507972665,0
0,2,2,0.0842824601366743,0
0,2,3,0.0159453302961276,0
0,3,0,0.236842105263158,0
0,3,1,0.605263157894737,0
0,3,2,0.125,0
0,3,3,0.0328947368421053,0
1,0,0,0.321685508735868,0
1,0,1,0.626927029804728,0
1,0,2,0.0441932168550874,0
1,0,3,0.00719424460431655,0
1,1,0,0.285350858596566,0
1,1,1,0.64871740513038,0
1,1,2,0.0546957812168751,0
1,1,3,0.0112359550561798,0
1,2,0,0.231532524807056,0
1,2,1,0.652701212789416,0
1,2,2,0.0885703785373025,0
1,2,3,0.0271958838662257,0
1,3,0,0.187645687645688,0
1,3,1,0.635198135198135,0
1,3,2,0.131701631701632,0
1,3,3,0.0454545454545455,0
2,0,0,0.340425531914894,0
2,0,1,0.617021276595745,0
2,0,2,0.0319148936170213,0
2,0,3,0.0106382978723404,0
2,1,0,0.24435318275154,0
2,1,1,0.636550308008214,0
2,1,2,0.0985626283367557,0
2,1,3,0.0205338809034908,0
2,2,0,0.168831168831169,0
2,2,1,0.649350649350649,0
2,2,2,0.133116883116883,0
2,2,3,0.0487012987012987,0
2,3,0,0.131944444444444,0
2,3,1,0.569444444444445,0
2,3,2,0.19212962962963,0
2,3,3,0.106481481481481,0
3,0,0,0.285714285714286,0
3,0,1,0.714285714285714,0
3,0,2,0,0
3,0,3,0,0
3,1,0,0.280701754385965,0
3,1,1,0.543859649122807,0
3,1,2,0.131578947368421,0
3,1,3,0.043859649122807,0
3,2,0,0.19047619047619,0
3,2,1,0.577380952380952,0
3,2,2,0.113095238095238,0
3,2,3,0.119047619047619,0
3,3,0,0.0487804878048781,0
3,3,1,0.520325203252033,0
3,3,2,0.308943089430894,0
3,3,3,0.121951219512195,0
