iteration;iteration_exp;replicate;init_pop;fertility_type;mating_type;p_genetic_variance;p_vertical_trans_variance;p_leakage;p_random_mating;p_fertility_factor
0;1;1;8000;additive;logistic;0.0;0.0;0.1;0.1;0.25
0;10;1;8000;additive;logistic;0.0;0.0;0.1;0.1;0.25
9;100;1;8000;additive;logistic;0.1;0.05;0.1;0.1;0.25
10;101;1;8000;additive;logistic;0.1;0.25;0.1;0.1;0.25
10;102;1;8000;additive;logistic;0.1;0.25;0.1;0.1;0.25
10;103;1;8000;additive;logistic;0.1;0.25;0.1;0.1;0.25
10;104;1;8000;additive;logistic;0.1;0.25;0.1;0.1;0.25
10;105;1;8000;additive;logistic;0.1;0.25;0.1;0.1;0.25
10;106;1;8000;additive;logistic;0.1;0.25;0.1;0.1;0.25
10;107;1;8000;additive;logistic;0.1;0.25;0.1;0.1;0.25
10;108;1;8000;additive;logistic;0.1;0.25;0.1;0.1;0.25
10;109;1;8000;additive;logistic;0.1;0.25;0.1;0.1;0.25
1;11;1;8000;additive;logistic;0.0;0.05;0.1;0.1;0.25
10;110;1;8000;additive;logistic;0.1;0.25;0.1;0.1;0.25
11;111;1;8000;additive;logistic;0.1;0.5;0.1;0.1;0.25
11;112;1;8000;additive;logistic;0.1;0.5;0.1;0.1;0.25
11;113;1;8000;additive;logistic;0.1;0.5;0.1;0.1;0.25
11;114;1;8000;additive;logistic;0.1;0.5;0.1;0.1;0.25
11;115;1;8000;additive;logistic;0.1;0.5;0.1;0.1;0.25
11;116;1;8000;additive;logistic;0.1;0.5;0.1;0.1;0.25
11;117;1;8000;additive;logistic;0.1;0.5;0.1;0.1;0.25
11;118;1;8000;additive;logistic;0.1;0.5;0.1;0.1;0.25
11;119;1;8000;additive;logistic;0.1;0.5;0.1;0.1;0.25
1;12;1;8000;additive;logistic;0.0;0.05;0.1;0.1;0.25
11;120;1;8000;additive;logistic;0.1;0.5;0.1;0.1;0.25
12;121;1;8000;additive;logistic;0.2;0.0;0.1;0.1;0.25
12;122;1;8000;additive;logistic;0.2;0.0;0.1;0.1;0.25
12;123;1;8000;additive;logistic;0.2;0.0;0.1;0.1;0.25
12;124;1;8000;additive;logistic;0.2;0.0;0.1;0.1;0.25
12;125;1;8000;additive;logistic;0.2;0.0;0.1;0.1;0.25
12;126;1;8000;additive;logistic;0.2;0.0;0.1;0.1;0.25
12;127;1;8000;additive;logistic;0.2;0.0;0.1;0.1;0.25
12;128;1;8000;additive;logistic;0.2;0.0;0.1;0.1;0.25
12;129;1;8000;additive;logistic;0.2;0.0;0.1;0.1;0.25
1;13;1;8000;additive;logistic;0.0;0.05;0.1;0.1;0.25
12;130;1;8000;additive;logistic;0.2;0.0;0.1;0.1;0.25
13;131;1;8000;additive;logistic;0.2;0.05;0.1;0.1;0.25
13;132;1;8000;additive;logistic;0.2;0.05;0.1;0.1;0.25
13;133;1;8000;additive;logistic;0.2;0.05;0.1;0.1;0.25
13;134;1;8000;additive;logistic;0.2;0.05;0.1;0.1;0.25
13;135;1;8000;additive;logistic;0.2;0.05;0.1;0.1;0.25
13;136;1;8000;additive;logistic;0.2;0.05;0.1;0.1;0.25
13;137;1;8000;additive;logistic;0.2;0.05;0.1;0.1;0.25
13;138;1;8000;additive;logistic;0.2;0.05;0.1;0.1;0.25
13;139;1;8000;additive;logistic;0.2;0.05;0.1;0.1;0.25
1;14;1;8000;additive;logistic;0.0;0.05;0.1;0.1;0.25
13;140;1;8000;additive;logistic;0.2;0.05;0.1;0.1;0.25
14;141;1;8000;additive;logistic;0.2;0.25;0.1;0.1;0.25
14;142;1;8000;additive;logistic;0.2;0.25;0.1;0.1;0.25
14;143;1;8000;additive;logistic;0.2;0.25;0.1;0.1;0.25
14;144;1;8000;additive;logistic;0.2;0.25;0.1;0.1;0.25
14;145;1;8000;additive;logistic;0.2;0.25;0.1;0.1;0.25
14;146;1;8000;additive;logistic;0.2;0.25;0.1;0.1;0.25
14;147;1;8000;additive;logistic;0.2;0.25;0.1;0.1;0.25
14;148;1;8000;additive;logistic;0.2;0.25;0.1;0.1;0.25
14;149;1;8000;additive;logistic;0.2;0.25;0.1;0.1;0.25
1;15;1;8000;additive;logistic;0.0;0.05;0.1;0.1;0.25
14;150;1;8000;additive;logistic;0.2;0.25;0.1;0.1;0.25
15;151;1;8000;additive;logistic;0.2;0.5;0.1;0.1;0.25
15;152;1;8000;additive;logistic;0.2;0.5;0.1;0.1;0.25
15;153;1;8000;additive;logistic;0.2;0.5;0.1;0.1;0.25
15;154;1;8000;additive;logistic;0.2;0.5;0.1;0.1;0.25
15;155;1;8000;additive;logistic;0.2;0.5;0.1;0.1;0.25
15;156;1;8000;additive;logistic;0.2;0.5;0.1;0.1;0.25
15;157;1;8000;additive;logistic;0.2;0.5;0.1;0.1;0.25
15;158;1;8000;additive;logistic;0.2;0.5;0.1;0.1;0.25
15;159;1;8000;additive;logistic;0.2;0.5;0.1;0.1;0.25
1;16;1;8000;additive;logistic;0.0;0.05;0.1;0.1;0.25
15;160;1;8000;additive;logistic;0.2;0.5;0.1;0.1;0.25
16;161;1;8000;additive;logistic;0.0;0.0;0.1;0.25;0.25
16;162;1;8000;additive;logistic;0.0;0.0;0.1;0.25;0.25
16;163;1;8000;additive;logistic;0.0;0.0;0.1;0.25;0.25
16;164;1;8000;additive;logistic;0.0;0.0;0.1;0.25;0.25
16;165;1;8000;additive;logistic;0.0;0.0;0.1;0.25;0.25
16;166;1;8000;additive;logistic;0.0;0.0;0.1;0.25;0.25
16;167;1;8000;additive;logistic;0.0;0.0;0.1;0.25;0.25
16;168;1;8000;additive;logistic;0.0;0.0;0.1;0.25;0.25
16;169;1;8000;additive;logistic;0.0;0.0;0.1;0.25;0.25
1;17;1;8000;additive;logistic;0.0;0.05;0.1;0.1;0.25
16;170;1;8000;additive;logistic;0.0;0.0;0.1;0.25;0.25
17;171;1;8000;additive;logistic;0.0;0.05;0.1;0.25;0.25
