iteration;iteration_exp;replicate;init_pop;fertility_type;mating_type;p_genetic_variance;p_vertical_trans_variance;p_leakage;p_random_mating;p_fertility_factor
0;1;1;8000;additive;logistic;0.0;0.05;0.1;0.1;0.25
0;10;1;8000;additive;logistic;0.0;0.05;0.1;0.1;0.25
1;11;1;8000;additive;logistic;0.0;0.25;0.1;0.1;0.25
1;12;1;8000;additive;logistic;0.0;0.25;0.1;0.1;0.25
1;13;1;8000;additive;logistic;0.0;0.25;0.1;0.1;0.25
1;14;1;8000;additive;logistic;0.0;0.25;0.1;0.1;0.25
1;15;1;8000;additive;logistic;0.0;0.25;0.1;0.1;0.25
1;16;1;8000;additive;logistic;0.0;0.25;0.1;0.1;0.25
1;17;1;8000;additive;logistic;0.0;0.25;0.1;0.1;0.25
1;18;1;8000;additive;logistic;0.0;0.25;0.1;0.1;0.25
1;19;1;8000;additive;logistic;0.0;0.25;0.1;0.1;0.25
0;2;1;8000;additive;logistic;0.0;0.05;0.1;0.1;0.25
1;20;1;8000;additive;logistic;0.0;0.25;0.1;0.1;0.25
2;21;1;8000;additive;logistic;0.0;0.5;0.1;0.1;0.25
2;22;1;8000;additive;logistic;0.0;0.5;0.1;0.1;0.25
2;23;1;8000;additive;logistic;0.0;0.5;0.1;0.1;0.25
2;24;1;8000;additive;logistic;0.0;0.5;0.1;0.1;0.25
2;25;1;8000;additive;logistic;0.0;0.5;0.1;0.1;0.25
2;26;1;8000;additive;logistic;0.0;0.5;0.1;0.1;0.25
2;27;1;8000;additive;logistic;0.0;0.5;0.1;0.1;0.25
2;28;1;8000;additive;logistic;0.0;0.5;0.1;0.1;0.25
2;29;1;8000;additive;logistic;0.0;0.5;0.1;0.1;0.25
0;3;1;8000;additive;logistic;0.0;0.05;0.1;0.1;0.25
2;30;1;8000;additive;logistic;0.0;0.5;0.1;0.1;0.25
3;31;1;8000;additive;logistic;0.0;0.05;0.1;0.5;0.25
3;32;1;8000;additive;logistic;0.0;0.05;0.1;0.5;0.25
3;33;1;8000;additive;logistic;0.0;0.05;0.1;0.5;0.25
3;34;1;8000;additive;logistic;0.0;0.05;0.1;0.5;0.25
3;35;1;8000;additive;logistic;0.0;0.05;0.1;0.5;0.25
3;36;1;8000;additive;logistic;0.0;0.05;0.1;0.5;0.25
3;37;1;8000;additive;logistic;0.0;0.05;0.1;0.5;0.25
3;38;1;8000;additive;logistic;0.0;0.05;0.1;0.5;0.25
3;39;1;8000;additive;logistic;0.0;0.05;0.1;0.5;0.25
0;4;1;8000;additive;logistic;0.0;0.05;0.1;0.1;0.25
3;40;1;8000;additive;logistic;0.0;0.05;0.1;0.5;0.25
4;41;1;8000;additive;logistic;0.0;0.25;0.1;0.5;0.25
4;42;1;8000;additive;logistic;0.0;0.25;0.1;0.5;0.25
4;43;1;8000;additive;logistic;0.0;0.25;0.1;0.5;0.25
4;44;1;8000;additive;logistic;0.0;0.25;0.1;0.5;0.25
4;45;1;8000;additive;logistic;0.0;0.25;0.1;0.5;0.25
4;46;1;8000;additive;logistic;0.0;0.25;0.1;0.5;0.25
4;47;1;8000;additive;logistic;0.0;0.25;0.1;0.5;0.25
4;48;1;8000;additive;logistic;0.0;0.25;0.1;0.5;0.25
4;49;1;8000;additive;logistic;0.0;0.25;0.1;0.5;0.25
0;5;1;8000;additive;logistic;0.0;0.05;0.1;0.1;0.25
4;50;1;8000;additive;logistic;0.0;0.25;0.1;0.5;0.25
5;51;1;8000;additive;logistic;0.0;0.5;0.1;0.5;0.25
5;52;1;8000;additive;logistic;0.0;0.5;0.1;0.5;0.25
5;53;1;8000;additive;logistic;0.0;0.5;0.1;0.5;0.25
5;54;1;8000;additive;logistic;0.0;0.5;0.1;0.5;0.25
5;55;1;8000;additive;logistic;0.0;0.5;0.1;0.5;0.25
5;56;1;8000;additive;logistic;0.0;0.5;0.1;0.5;0.25
5;57;1;8000;additive;logistic;0.0;0.5;0.1;0.5;0.25
5;58;1;8000;additive;logistic;0.0;0.5;0.1;0.5;0.25
5;59;1;8000;additive;logistic;0.0;0.5;0.1;0.5;0.25
0;6;1;8000;additive;logistic;0.0;0.05;0.1;0.1;0.25
5;60;1;8000;additive;logistic;0.0;0.5;0.1;0.5;0.25
6;61;1;8000;additive;logistic;0.0;0.05;0.1;0.9;0.25
6;62;1;8000;additive;logistic;0.0;0.05;0.1;0.9;0.25
6;63;1;8000;additive;logistic;0.0;0.05;0.1;0.9;0.25
6;64;1;8000;additive;logistic;0.0;0.05;0.1;0.9;0.25
6;65;1;8000;additive;logistic;0.0;0.05;0.1;0.9;0.25
6;66;1;8000;additive;logistic;0.0;0.05;0.1;0.9;0.25
6;67;1;8000;additive;logistic;0.0;0.05;0.1;0.9;0.25
6;68;1;8000;additive;logistic;0.0;0.05;0.1;0.9;0.25
6;69;1;8000;additive;logistic;0.0;0.05;0.1;0.9;0.25
0;7;1;8000;additive;logistic;0.0;0.05;0.1;0.1;0.25
6;70;1;8000;additive;logistic;0.0;0.05;0.1;0.9;0.25
7;71;1;8000;additive;logistic;0.0;0.25;0.1;0.9;0.25
7;72;1;8000;additive;logistic;0.0;0.25;0.1;0.9;0.25
7;73;1;8000;additive;logistic;0.0;0.25;0.1;0.9;0.25
7;74;1;8000;additive;logistic;0.0;0.25;0.1;0.9;0.25
7;75;1;8000;additive;logistic;0.0;0.25;0.1;0.9;0.25
7;76;1;8000;additive;logistic;0.0;0.25;0.1;0.9;0.25
7;77;1;8000;additive;logistic;0.0;0.25;0.1;0.9;0.25
7;78;1;8000;additive;logistic;0.0;0.25;0.1;0.9;0.25
7;79;1;8000;additive;logistic;0.0;0.25;0.1;0.9;0.25
0;8;1;8000;additive;logistic;0.0;0.05;0.1;0.1;0.25
7;80;1;8000;additive;logistic;0.0;0.25;0.1;0.9;0.25
8;81;1;8000;additive;logistic;0.0;0.5;0.1;0.9;0.25
8;82;1;8000;additive;logistic;0.0;0.5;0.1;0.9;0.25
8;83;1;8000;additive;logistic;0.0;0.5;0.1;0.9;0.25
8;84;1;8000;additive;logistic;0.0;0.5;0.1;0.9;0.25
8;85;1;8000;additive;logistic;0.0;0.5;0.1;0.9;0.25
8;86;1;8000;additive;logistic;0.0;0.5;0.1;0.9;0.25
8;87;1;8000;additive;logistic;0.0;0.5;0.1;0.9;0.25
8;88;1;8000;additive;logistic;0.0;0.5;0.1;0.9;0.25
8;89;1;8000;additive;logistic;0.0;0.5;0.1;0.9;0.25
0;9;1;8000;additive;logistic;0.0;0.05;0.1;0.1;0.25
8;90;1;8000;additive;logistic;0.0;0.5;0.1;0.9;0.25
