iteration;replicate;init_pop;fertility_type;heritability_type;mating_type;random_mating;leakage;fertility_factor
1;1;1000;additive;preston;defined;0.6355609096733587;0.42370727311557244;0.25422436386934344
1;2;1000;additive;preston;defined;0.6355609096733587;0.42370727311557244;0.25422436386934344
10;1;1000;additive;preston;defined;0.6836890903266415;0.4282072731155725;0.26207563613065654
10;2;1000;additive;preston;defined;0.6836890903266415;0.4282072731155725;0.26207563613065654
100;1;1000;additive;preston;defined;0.37618909032664094;0.4732072731155725;0.025075636130656435
100;2;1000;additive;preston;defined;0.37618909032664094;0.4732072731155725;0.025075636130656435
1000;1;1000;additive;preston;defined;0.3011890903266335;0.07679272688442745;0.055075636130656615
1000;2;1000;additive;preston;defined;0.3011890903266335;0.07679272688442745;0.055075636130656615
1001;1;1000;additive;preston;defined;0.11443909032664472;0.07629272688442751;0.045775636130657354
1001;2;1000;additive;preston;defined;0.11443909032664472;0.07629272688442751;0.045775636130657354
1002;1;1000;additive;preston;defined;0.07231090967337123;0.07579272688442751;0.03647563613065675
1002;2;1000;additive;preston;defined;0.07231090967337123;0.07579272688442751;0.03647563613065675
1003;1;1000;additive;preston;defined;0.25906090967336004;0.07529272688442756;0.027175636130657488
1003;2;1000;additive;preston;defined;0.25906090967336004;0.07529272688442756;0.027175636130657488
1004;1;1000;additive;preston;defined;0.445810909673376;0.07479272688442762;0.017875636130655546
1004;2;1000;additive;preston;defined;0.445810909673376;0.07479272688442762;0.017875636130655546
1005;1;1000;additive;preston;defined;0.6325609096733648;0.07429272688442759;0.008575636130656322
1005;2;1000;additive;preston;defined;0.6325609096733648;0.07429272688442759;0.008575636130656322
1006;1;1000;additive;preston;defined;0.6806890903266193;0.07379272688442748;7.243638693447518E-4
1006;2;1000;additive;preston;defined;0.6806890903266193;0.07379272688442748;7.243638693447518E-4
1007;1;1000;additive;preston;defined;0.4939390903266305;0.07329272688442756;0.010024363869343578
1007;2;1000;additive;preston;defined;0.4939390903266305;0.07329272688442756;0.010024363869343578
1008;1;1000;additive;preston;defined;0.30718909032661457;0.07279272688442745;0.019324363869344167
1008;2;1000;additive;preston;defined;0.30718909032661457;0.07279272688442745;0.019324363869344167
1009;1;1000;additive;preston;defined;0.12043909032662574;0.07229272688442745;0.02862436386934341
1009;2;1000;additive;preston;defined;0.12043909032662574;0.07229272688442745;0.02862436386934341
101;1;1000;additive;preston;defined;0.189439090326642;0.4737072731155725;0.015775636130656526
101;2;1000;additive;preston;defined;0.189439090326642;0.4737072731155725;0.015775636130656526
1010;1;1000;additive;preston;defined;0.06631090967336302;0.07179272688442748;0.03792436386934267
1010;2;1000;additive;preston;defined;0.06631090967336302;0.07179272688442748;0.03792436386934267
1011;1;1000;additive;preston;defined;0.253060909673379;0.0712927268844275;0.04722436386934329
1011;2;1000;additive;preston;defined;0.253060909673379;0.0712927268844275;0.04722436386934329
1012;1;1000;additive;preston;defined;0.4398109096733678;0.07079272688442753;0.05652436386934254
1012;2;1000;additive;preston;defined;0.4398109096733678;0.07079272688442753;0.05652436386934254
1013;1;1000;additive;preston;defined;0.6265609096733837;0.07029272688442761;0.06582436386934451
1013;2;1000;additive;preston;defined;0.6265609096733837;0.07029272688442761;0.06582436386934451
1014;1;1000;additive;preston;defined;0.6866890903266274;0.06979272688442759;0.07512436386934375
1014;2;1000;additive;preston;defined;0.6866890903266274;0.06979272688442759;0.07512436386934375
1015;1;1000;additive;preston;defined;0.49993909032661155;0.0692927268844275;0.08442436386934438
1015;2;1000;additive;preston;defined;0.49993909032661155;0.0692927268844275;0.08442436386934438
1016;1;1000;additive;preston;defined;0.3131890903266227;0.06879272688442756;0.09372436386934362
1016;2;1000;additive;preston;defined;0.3131890903266227;0.06879272688442756;0.09372436386934362
1017;1;1000;additive;preston;defined;0.12643909032663392;0.06829272688442758;0.10302436386934286
1017;2;1000;additive;preston;defined;0.12643909032663392;0.06829272688442758;0.10302436386934286
1018;1;1000;additive;preston;defined;0.06031090967338204;0.06779272688442747;0.11232436386934347
1018;2;1000;additive;preston;defined;0.06031090967338204;0.06779272688442747;0.11232436386934347
1019;1;1000;additive;preston;defined;0.2470609096733708;0.0672927268844275;0.12162436386934272
1019;2;1000;additive;preston;defined;0.2470609096733708;0.0672927268844275;0.12162436386934272
102;1;1000;additive;preston;defined;0.002689090326639665;0.4742072731155725;0.00647563613065647
102;2;1000;additive;preston;defined;0.002689090326639665;0.4742072731155725;0.00647563613065647
