iteration;replicate;init_pop;fertility_type;heritability_type;mating_type;random_mating;leakage;fertility_factor
1000;1;1000;additive;preston;defined;0.1;0.1;0.25
1000;10;1000;additive;preston;defined;0.1;0.1;0.25
1000;11;1000;additive;preston;defined;0.1;0.1;0.25
1000;12;1000;additive;preston;defined;0.1;0.1;0.25
1000;13;1000;additive;preston;defined;0.1;0.1;0.25
1000;14;1000;additive;preston;defined;0.1;0.1;0.25
1000;15;1000;additive;preston;defined;0.1;0.1;0.25
1000;16;1000;additive;preston;defined;0.1;0.1;0.25
1000;17;1000;additive;preston;defined;0.1;0.1;0.25
1000;18;1000;additive;preston;defined;0.1;0.1;0.25
1000;19;1000;additive;preston;defined;0.1;0.1;0.25
1000;2;1000;additive;preston;defined;0.1;0.1;0.25
1000;20;1000;additive;preston;defined;0.1;0.1;0.25
1000;21;1000;additive;preston;defined;0.1;0.1;0.25
1000;22;1000;additive;preston;defined;0.1;0.1;0.25
1000;23;1000;additive;preston;defined;0.1;0.1;0.25
1000;24;1000;additive;preston;defined;0.1;0.1;0.25
1000;25;1000;additive;preston;defined;0.1;0.1;0.25
1000;26;1000;additive;preston;defined;0.1;0.1;0.25
1000;27;1000;additive;preston;defined;0.1;0.1;0.25
1000;28;1000;additive;preston;defined;0.1;0.1;0.25
1000;29;1000;additive;preston;defined;0.1;0.1;0.25
1000;3;1000;additive;preston;defined;0.1;0.1;0.25
1000;30;1000;additive;preston;defined;0.1;0.1;0.25
1000;4;1000;additive;preston;defined;0.1;0.1;0.25
1000;5;1000;additive;preston;defined;0.1;0.1;0.25
1000;6;1000;additive;preston;defined;0.1;0.1;0.25
1000;7;1000;additive;preston;defined;0.1;0.1;0.25
1000;8;1000;additive;preston;defined;0.1;0.1;0.25
1000;9;1000;additive;preston;defined;0.1;0.1;0.25
1001;1;1000;additive;preston;defined;0.1;0.1;0.25
1001;10;1000;additive;preston;defined;0.1;0.1;0.25
1001;11;1000;additive;preston;defined;0.1;0.1;0.25
1001;12;1000;additive;preston;defined;0.1;0.1;0.25
1001;13;1000;additive;preston;defined;0.1;0.1;0.25
1001;14;1000;additive;preston;defined;0.1;0.1;0.25
1001;15;1000;additive;preston;defined;0.1;0.1;0.25
1001;16;1000;additive;preston;defined;0.1;0.1;0.25
1001;17;1000;additive;preston;defined;0.1;0.1;0.25
1001;18;1000;additive;preston;defined;0.1;0.1;0.25
1001;19;1000;additive;preston;defined;0.1;0.1;0.25
1001;2;1000;additive;preston;defined;0.1;0.1;0.25
1001;20;1000;additive;preston;defined;0.1;0.1;0.25
1001;21;1000;additive;preston;defined;0.1;0.1;0.25
1001;22;1000;additive;preston;defined;0.1;0.1;0.25
1001;23;1000;additive;preston;defined;0.1;0.1;0.25
1001;24;1000;additive;preston;defined;0.1;0.1;0.25
1001;25;1000;additive;preston;defined;0.1;0.1;0.25
1001;26;1000;additive;preston;defined;0.1;0.1;0.25
1001;27;1000;additive;preston;defined;0.1;0.1;0.25
1001;28;1000;additive;preston;defined;0.1;0.1;0.25
1001;29;1000;additive;preston;defined;0.1;0.1;0.25
1001;3;1000;additive;preston;defined;0.1;0.1;0.25
1001;30;1000;additive;preston;defined;0.1;0.1;0.25
1001;4;1000;additive;preston;defined;0.1;0.1;0.25
1001;5;1000;additive;preston;defined;0.1;0.1;0.25
1001;6;1000;additive;preston;defined;0.1;0.1;0.25
1001;7;1000;additive;preston;defined;0.1;0.1;0.25
1001;8;1000;additive;preston;defined;0.1;0.1;0.25
1001;9;1000;additive;preston;defined;0.1;0.1;0.25
1002;1;1000;additive;preston;defined;0.1;0.1;0.25
1002;10;1000;additive;preston;defined;0.1;0.1;0.25
1002;11;1000;additive;preston;defined;0.1;0.1;0.25
1002;12;1000;additive;preston;defined;0.1;0.1;0.25
1002;13;1000;additive;preston;defined;0.1;0.1;0.25
1002;14;1000;additive;preston;defined;0.1;0.1;0.25
1002;15;1000;additive;preston;defined;0.1;0.1;0.25
1002;16;1000;additive;preston;defined;0.1;0.1;0.25
1002;17;1000;additive;preston;defined;0.1;0.1;0.25
1002;18;1000;additive;preston;defined;0.1;0.1;0.25
1002;19;1000;additive;preston;defined;0.1;0.1;0.25
1002;2;1000;additive;preston;defined;0.1;0.1;0.25
1002;20;1000;additive;preston;defined;0.1;0.1;0.25
1002;21;1000;additive;preston;defined;0.1;0.1;0.25
1002;22;1000;additive;preston;defined;0.1;0.1;0.25
1002;23;1000;additive;preston;defined;0.1;0.1;0.25
1002;24;1000;additive;preston;defined;0.1;0.1;0.25
1002;25;1000;additive;preston;defined;0.1;0.1;0.25
1002;26;1000;additive;preston;defined;0.1;0.1;0.25
1002;27;1000;additive;preston;defined;0.1;0.1;0.25
1002;28;1000;additive;preston;defined;0.1;0.1;0.25
1002;29;1000;additive;preston;defined;0.1;0.1;0.25
1002;3;1000;additive;preston;defined;0.1;0.1;0.25
1002;30;1000;additive;preston;defined;0.1;0.1;0.25
1002;4;1000;additive;preston;defined;0.1;0.1;0.25
1002;5;1000;additive;preston;defined;0.1;0.1;0.25
1002;6;1000;additive;preston;defined;0.1;0.1;0.25
1002;7;1000;additive;preston;defined;0.1;0.1;0.25
1002;8;1000;additive;preston;defined;0.1;0.1;0.25
1002;9;1000;additive;preston;defined;0.1;0.1;0.25
1003;1;1000;additive;preston;defined;0.1;0.1;0.25
1003;10;1000;additive;preston;defined;0.1;0.1;0.25
1003;11;1000;additive;preston;defined;0.1;0.1;0.25
1003;12;1000;additive;preston;defined;0.1;0.1;0.25
1003;13;1000;additive;preston;defined;0.1;0.1;0.25
1003;14;1000;additive;preston;defined;0.1;0.1;0.25
1003;15;1000;additive;preston;defined;0.1;0.1;0.25
1003;16;1000;additive;preston;defined;0.1;0.1;0.25
1003;17;1000;additive;preston;defined;0.1;0.1;0.25
1003;18;1000;additive;preston;defined;0.1;0.1;0.25
1003;19;1000;additive;preston;defined;0.1;0.1;0.25
1003;2;1000;additive;preston;defined;0.1;0.1;0.25
1003;20;1000;additive;preston;defined;0.1;0.1;0.25
1003;21;1000;additive;preston;defined;0.1;0.1;0.25
1003;22;1000;additive;preston;defined;0.1;0.1;0.25
1003;23;1000;additive;preston;defined;0.1;0.1;0.25
1003;24;1000;additive;preston;defined;0.1;0.1;0.25
1003;25;1000;additive;preston;defined;0.1;0.1;0.25
1003;26;1000;additive;preston;defined;0.1;0.1;0.25
1003;27;1000;additive;preston;defined;0.1;0.1;0.25
1003;28;1000;additive;preston;defined;0.1;0.1;0.25
1003;29;1000;additive;preston;defined;0.1;0.1;0.25
1003;3;1000;additive;preston;defined;0.1;0.1;0.25
1003;30;1000;additive;preston;defined;0.1;0.1;0.25
1003;4;1000;additive;preston;defined;0.1;0.1;0.25
1003;5;1000;additive;preston;defined;0.1;0.1;0.25
1003;6;1000;additive;preston;defined;0.1;0.1;0.25
1003;7;1000;additive;preston;defined;0.1;0.1;0.25
1003;8;1000;additive;preston;defined;0.1;0.1;0.25
1003;9;1000;additive;preston;defined;0.1;0.1;0.25
1004;1;1000;additive;preston;defined;0.1;0.1;0.25
1004;10;1000;additive;preston;defined;0.1;0.1;0.25
1004;11;1000;additive;preston;defined;0.1;0.1;0.25
1004;12;1000;additive;preston;defined;0.1;0.1;0.25
1004;13;1000;additive;preston;defined;0.1;0.1;0.25
1004;14;1000;additive;preston;defined;0.1;0.1;0.25
1004;15;1000;additive;preston;defined;0.1;0.1;0.25
1004;16;1000;additive;preston;defined;0.1;0.1;0.25
1004;17;1000;additive;preston;defined;0.1;0.1;0.25
1004;18;1000;additive;preston;defined;0.1;0.1;0.25
1004;19;1000;additive;preston;defined;0.1;0.1;0.25
1004;2;1000;additive;preston;defined;0.1;0.1;0.25
1004;20;1000;additive;preston;defined;0.1;0.1;0.25
1004;21;1000;additive;preston;defined;0.1;0.1;0.25
1004;22;1000;additive;preston;defined;0.1;0.1;0.25
1004;23;1000;additive;preston;defined;0.1;0.1;0.25
1004;24;1000;additive;preston;defined;0.1;0.1;0.25
1004;25;1000;additive;preston;defined;0.1;0.1;0.25
1004;26;1000;additive;preston;defined;0.1;0.1;0.25
1004;27;1000;additive;preston;defined;0.1;0.1;0.25
1004;28;1000;additive;preston;defined;0.1;0.1;0.25
1004;29;1000;additive;preston;defined;0.1;0.1;0.25
1004;3;1000;additive;preston;defined;0.1;0.1;0.25
1004;30;1000;additive;preston;defined;0.1;0.1;0.25
1004;4;1000;additive;preston;defined;0.1;0.1;0.25
1004;5;1000;additive;preston;defined;0.1;0.1;0.25
1004;6;1000;additive;preston;defined;0.1;0.1;0.25
1004;7;1000;additive;preston;defined;0.1;0.1;0.25
1004;8;1000;additive;preston;defined;0.1;0.1;0.25
1004;9;1000;additive;preston;defined;0.1;0.1;0.25
1005;1;1000;additive;preston;defined;0.1;0.1;0.25
1005;10;1000;additive;preston;defined;0.1;0.1;0.25
1005;11;1000;additive;preston;defined;0.1;0.1;0.25
1005;12;1000;additive;preston;defined;0.1;0.1;0.25
1005;13;1000;additive;preston;defined;0.1;0.1;0.25
1005;14;1000;additive;preston;defined;0.1;0.1;0.25
1005;15;1000;additive;preston;defined;0.1;0.1;0.25
1005;16;1000;additive;preston;defined;0.1;0.1;0.25
1005;17;1000;additive;preston;defined;0.1;0.1;0.25
1005;18;1000;additive;preston;defined;0.1;0.1;0.25
1005;19;1000;additive;preston;defined;0.1;0.1;0.25
1005;2;1000;additive;preston;defined;0.1;0.1;0.25
1005;20;1000;additive;preston;defined;0.1;0.1;0.25
1005;21;1000;additive;preston;defined;0.1;0.1;0.25
1005;22;1000;additive;preston;defined;0.1;0.1;0.25
1005;23;1000;additive;preston;defined;0.1;0.1;0.25
1005;24;1000;additive;preston;defined;0.1;0.1;0.25
1005;25;1000;additive;preston;defined;0.1;0.1;0.25
1005;26;1000;additive;preston;defined;0.1;0.1;0.25
1005;27;1000;additive;preston;defined;0.1;0.1;0.25
1005;28;1000;additive;preston;defined;0.1;0.1;0.25
1005;29;1000;additive;preston;defined;0.1;0.1;0.25
1005;3;1000;additive;preston;defined;0.1;0.1;0.25
1005;30;1000;additive;preston;defined;0.1;0.1;0.25
1005;4;1000;additive;preston;defined;0.1;0.1;0.25
1005;5;1000;additive;preston;defined;0.1;0.1;0.25
1005;6;1000;additive;preston;defined;0.1;0.1;0.25
1005;7;1000;additive;preston;defined;0.1;0.1;0.25
1005;8;1000;additive;preston;defined;0.1;0.1;0.25
1005;9;1000;additive;preston;defined;0.1;0.1;0.25
1006;1;1000;additive;preston;defined;0.1;0.1;0.25
1006;10;1000;additive;preston;defined;0.1;0.1;0.25
1006;11;1000;additive;preston;defined;0.1;0.1;0.25
1006;12;1000;additive;preston;defined;0.1;0.1;0.25
1006;13;1000;additive;preston;defined;0.1;0.1;0.25
1006;14;1000;additive;preston;defined;0.1;0.1;0.25
1006;15;1000;additive;preston;defined;0.1;0.1;0.25
1006;16;1000;additive;preston;defined;0.1;0.1;0.25
1006;17;1000;additive;preston;defined;0.1;0.1;0.25
