iteration;replicate;init_pop;fertility_type;mating_type;p_genetic_variance;p_vertical_trans_variance;p_leakage;p_random_mating;p_fertility_factor
1;1;8000;additive;logistic;0.1568603515625;0.3670654296875;0.1;7.32421875E-4;0.25
10;1;8000;additive;logistic;0.4068603515625;0.1170654296875;0.1;0.246826171875;0.25
100;1;8000;additive;logistic;0.1881103515625;0.3990478515625;0.1;0.313232421875;0.25
1000;1;8000;additive;logistic;0.2105712890625;0.3326416015625;0.1;0.864013671875;0.25
10000;1;8000;additive;logistic;0.1141357421875;0.4207763671875;0.1;0.158447265625;0.25
10001;1;8000;additive;logistic;0.0140380859375;0.3209228515625;0.1;0.786376953125;0.25
10002;1;8000;additive;logistic;0.0140380859375;0.3209228515625;0.1;0.908447265625;0.25
10003;1;8000;additive;logistic;0.2391357421875;0.3209228515625;0.1;0.786376953125;0.25
10004;1;8000;additive;logistic;0.0140380859375;0.2957763671875;0.1;0.786376953125;0.25
10005;1;8000;additive;logistic;0.2391357421875;0.2957763671875;0.1;0.786376953125;0.25
10006;1;8000;additive;logistic;0.0140380859375;0.2957763671875;0.1;0.908447265625;0.25
10007;1;8000;additive;logistic;0.2391357421875;0.3209228515625;0.1;0.908447265625;0.25
10008;1;8000;additive;logistic;0.2391357421875;0.2957763671875;0.1;0.908447265625;0.25
10009;1;8000;additive;logistic;0.2640380859375;0.0709228515625;0.1;0.286376953125;0.25
1001;1;8000;additive;logistic;0.3638916015625;0.2303466796875;0.1;0.758544921875;0.25
10010;1;8000;additive;logistic;0.2640380859375;0.0709228515625;0.1;0.408447265625;0.25
10011;1;8000;additive;logistic;0.4891357421875;0.0709228515625;0.1;0.286376953125;0.25
10012;1;8000;additive;logistic;0.2640380859375;0.0457763671875;0.1;0.286376953125;0.25
10013;1;8000;additive;logistic;0.4891357421875;0.0457763671875;0.1;0.286376953125;0.25
10014;1;8000;additive;logistic;0.2640380859375;0.0457763671875;0.1;0.408447265625;0.25
10015;1;8000;additive;logistic;0.4891357421875;0.0709228515625;0.1;0.408447265625;0.25
10016;1;8000;additive;logistic;0.4891357421875;0.0457763671875;0.1;0.408447265625;0.25
