iteration;replicate;init_pop;fertility_type;mating_type;p_genetic_variance;p_vertical_trans_variance;p_leakage;p_random_mating;p_fertility_factor
1;1;8000;additive;logistic;0.0;1.0;0.20391913295679642;0.40783826591359285;0.12235147977407784
10;1;8000;additive;logistic;0.0;1.0;0.19941913295679642;0.16683826591359324;0.03865147977407788
100;1;8000;additive;logistic;0.0;1.0;0.15441913295679638;0.24316173408640862;0.1983485202259222
1000;1;8000;additive;logistic;0.0;1.0;0.2955808670432036;0.3431617340863869;0.16834852022592237
1001;1;8000;additive;logistic;0.0;1.0;0.2960808670432036;0.592161734086372;0.17764852022592162
1002;1;8000;additive;logistic;0.0;1.0;0.2965808670432035;0.8411617340863933;0.1869485202259222
1003;1;8000;additive;logistic;0.0;1.0;0.29708086704320347;0.9098382659136217;0.19624852022592149
1004;1;8000;additive;logistic;0.0;1.0;0.29758086704320363;0.6608382659136005;0.20554852022592343
1005;1;8000;additive;logistic;0.0;1.0;0.2980808670432036;0.4118382659136154;0.2148485202259227
1006;1;8000;additive;logistic;0.0;1.0;0.2985808670432037;0.16283826591359407;0.22414852022592327
1007;1;8000;additive;logistic;0.0;1.0;0.29908086704320364;0.08616173408639088;0.23344852022592252
1008;1;8000;additive;logistic;0.0;1.0;0.29958086704320364;0.3351617340864122;0.24274852022592316
1009;1;8000;additive;logistic;0.0;1.0;0.3000808670432036;0.5841617340863973;0.2520485202259224
101;1;8000;additive;logistic;0.0;1.0;0.15391913295679643;0.4921617340864073;0.2076485202259221
1010;1;8000;additive;logistic;0.0;1.0;0.3005808670432036;0.8331617340863824;0.26134852022592164
1011;1;8000;additive;logistic;0.0;1.0;0.3010808670432035;0.9178382659135964;0.27064852022592223
1012;1;8000;additive;logistic;0.0;1.0;0.3015808670432035;0.6688382659136113;0.2799485202259215
1013;1;8000;additive;logistic;0.0;1.0;0.30208086704320364;0.4198382659135901;0.28924852022592346
1014;1;8000;additive;logistic;0.0;1.0;0.3025808670432036;0.17083826591360496;0.29854852022592254
1015;1;8000;additive;logistic;0.0;1.0;0.3030808670432037;0.07816173408641619;0.2921514797740766
1016;1;8000;additive;logistic;0.0;1.0;0.30358086704320364;0.32716173408640137;0.28285147977407743
1017;1;8000;additive;logistic;0.0;1.0;0.30408086704320364;0.5761617340863864;0.2735514797740782
1018;1;8000;additive;logistic;0.0;1.0;0.3045808670432036;0.8251617340864077;0.26425147977407754
1019;1;8000;additive;logistic;0.0;1.0;0.3050808670432036;0.9258382659136073;0.2549514797740783
102;1;8000;additive;logistic;0.0;1.0;0.15341913295679646;0.7411617340864105;0.2169485202259222
1020;1;8000;additive;logistic;0.0;1.0;0.30558086704320353;0.6768382659135861;0.24565147977407764
1021;1;8000;additive;logistic;0.0;1.0;0.3060808670432035;0.42783826591360097;0.23635147977407842
1022;1;8000;additive;logistic;0.0;1.0;0.30658086704320364;0.17883826591357965;0.22705147977407647
1023;1;8000;additive;logistic;0.0;1.0;0.3070808670432036;0.07016173408640536;0.2177514797740772
1024;1;8000;additive;logistic;0.0;1.0;0.3075808670432037;0.3191617340864266;0.2084514797740766
1025;1;8000;additive;logistic;0.0;1.0;0.30808086704320364;0.5681617340864117;0.19915147977407735
1026;1;8000;additive;logistic;0.0;1.0;0.30858086704320364;0.8171617340863968;0.1898514797740781
1027;1;8000;additive;logistic;0.0;1.0;0.3090808670432036;0.933838265913582;0.1805514797740775
1028;1;8000;additive;logistic;0.0;1.0;0.3095808670432036;0.6848382659135969;0.17125147977407823
1029;1;8000;additive;logistic;0.0;1.0;0.31008086704320353;0.43583826591357566;0.16195147977407762
103;1;8000;additive;logistic;0.0;1.0;0.15291913295679638;0.9901617340864046;0.22624852022592212
1030;1;8000;additive;logistic;0.0;1.0;0.31058086704320353;0.18683826591359054;0.15265147977407836
1031;1;8000;additive;logistic;0.0;1.0;0.3110808670432036;0.06216173408639453;0.14335147977407642
1032;1;8000;additive;logistic;0.0;1.0;0.3115808670432036;0.31116173408637954;0.13405147977407716
1033;1;8000;additive;logistic;0.0;1.0;0.3120808670432037;0.5601617340864008;0.12475147977407655
1034;1;8000;additive;logistic;0.0;1.0;0.31258086704320365;0.8091617340863859;0.1154514797740773
1035;1;8000;additive;logistic;0.0;1.0;0.31308086704320365;0.9418382659136291;0.10615147977407803
1036;1;8000;additive;logistic;0.0;1.0;0.3135808670432036;0.6928382659136079;0.09685147977407743
1037;1;8000;additive;logistic;0.0;1.0;0.3140808670432036;0.44383826591362274;0.08755147977407819
1038;1;8000;additive;logistic;0.0;1.0;0.31458086704320354;0.19483826591360148;0.07825147977407758
1039;1;8000;additive;logistic;0.0;1.0;0.3150808670432035;0.054161734086383584;0.06895147977407834
104;1;8000;additive;logistic;0.0;1.0;0.15241913295679646;0.7608382659135923;0.2355485202259222
1040;1;8000;additive;logistic;0.0;1.0;0.31558086704320365;0.30316173408640484;0.059651479774076345
1041;1;8000;additive;logistic;0.0;1.0;0.3160808670432036;0.5521617340863899;0.050351479774077106
1042;1;8000;additive;logistic;0.0;1.0;0.31658086704320354;0.801161734086375;0.041051479774077845
1043;1;8000;additive;logistic;0.0;1.0;0.31708086704320365;0.9498382659136038;0.03175147977407724
1044;1;8000;additive;logistic;0.0;1.0;0.31758086704320365;0.7008382659136188;0.022451479774077996
1045;1;8000;additive;logistic;0.0;1.0;0.3180808670432036;0.45183826591359744;0.013151479774077357
1046;1;8000;additive;logistic;0.0;1.0;0.31858086704320354;0.20283826591361237;0.0038514797740782647
1047;1;8000;additive;logistic;0.0;1.0;0.31908086704320354;0.046161734086408945;0.005448520225922443
1048;1;8000;additive;logistic;0.0;1.0;0.31958086704320354;0.2951617340863939;0.014748520225921718
1049;1;8000;additive;logistic;0.0;1.0;0.3200808670432036;0.5441617340864152;0.02404852022592369
105;1;8000;additive;logistic;0.0;1.0;0.1519191329567964;0.5118382659135936;0.24484852022592216
1050;1;8000;additive;logistic;0.0;1.0;0.3205808670432036;0.7931617340864003;0.03334852022592295
1051;1;8000;additive;logistic;0.0;1.0;0.32108086704320354;0.9578382659136147;0.04264852022592219
1052;1;8000;additive;logistic;0.0;1.0;0.32158086704320366;0.7088382659135934;0.051948520225922785
1053;1;8000;additive;logistic;0.0;1.0;0.32208086704320366;0.4598382659136083;0.06124852022592204
1054;1;8000;additive;logistic;0.0;1.0;0.3225808670432036;0.21083826591358706;0.07054852022592265
1055;1;8000;additive;logistic;0.0;1.0;0.3230808670432036;0.038161734086398;0.07984852022592188
1056;1;8000;additive;logistic;0.0;1.0;0.32358086704320355;0.28716173408641926;0.0891485202259225
1057;1;8000;additive;logistic;0.0;1.0;0.3240808670432035;0.5361617340864043;0.09844852022592174
1058;1;8000;additive;logistic;0.0;1.0;0.3245808670432036;0.7851617340864256;0.10774852022592372
1059;1;8000;additive;logistic;0.0;1.0;0.3250808670432036;0.9658382659135896;0.11704852022592296
106;1;8000;additive;logistic;0.0;1.0;0.15141913295679643;0.26283826591359044;0.2541485202259221
1060;1;8000;additive;logistic;0.0;1.0;0.32558086704320355;0.7168382659136043;0.12634852022592222
1061;1;8000;additive;logistic;0.0;1.0;0.32608086704320366;0.467838265913583;0.13564852022592283
1062;1;8000;additive;logistic;0.0;1.0;0.32658086704320366;0.2188382659135979;0.14494852022592208
1063;1;8000;additive;logistic;0.0;1.0;0.3270808670432036;0.030161734086423198;0.1542485202259227
1064;1;8000;additive;logistic;0.0;1.0;0.3275808670432036;0.2791617340864083;0.16354852022592195
1065;1;8000;additive;logistic;0.0;1.0;0.32808086704320355;0.5281617340864296;0.17284852022592256
1066;1;8000;additive;logistic;0.0;1.0;0.3285808670432035;0.7771617340864148;0.18214852022592182
1067;1;8000;additive;logistic;0.0;1.0;0.3290808670432035;0.9738382659136002;0.19144852022592243
1068;1;8000;additive;logistic;0.0;1.0;0.3295808670432036;0.7248382659136152;0.20074852022592302
1069;1;8000;additive;logistic;0.0;1.0;0.33008086704320355;0.4758382659136301;0.21004852022592227
107;1;8000;additive;logistic;0.0;1.0;0.1509191329567964;0.013838265913591441;0.263448520225922
1070;1;8000;additive;logistic;0.0;1.0;0.33058086704320366;0.22683826591360884;0.21934852022592288
1071;1;8000;additive;logistic;0.0;1.0;0.3310808670432036;0.02216173408637595;0.22864852022592214
1072;1;8000;additive;logistic;0.0;1.0;0.3315808670432036;0.27116173408639743;0.23794852022592275
1073;1;8000;additive;logistic;0.0;1.0;0.3320808670432036;0.5201617340863826;0.247248520225922
1074;1;8000;additive;logistic;0.0;1.0;0.33258086704320355;0.7691617340864039;0.2565485202259226
1075;1;8000;additive;logistic;0.0;1.0;0.3330808670432035;0.9818382659136111;0.26584852022592187
1076;1;8000;additive;logistic;0.0;1.0;0.3335808670432035;0.7328382659136261;0.2751485202259225
1077;1;8000;additive;logistic;0.0;1.0;0.3340808670432036;0.4838382659136048;0.2844485202259231
1078;1;8000;additive;logistic;0.0;1.0;0.33458086704320356;0.23483826591361967;0.29374852022592235
1079;1;8000;additive;logistic;0.0;1.0;0.33508086704320367;0.014161734086401256;0.29695147977407715
108;1;8000;additive;logistic;0.0;1.0;0.15041913295679643;0.23516173408640678;0.2727485202259221
1080;1;8000;additive;logistic;0.0;1.0;0.33558086704320367;0.26316173408638655;0.28765147977407785
1081;1;8000;additive;logistic;0.0;1.0;0.3360808670432036;0.5121617340864079;0.2783514797740772
1082;1;8000;additive;logistic;0.0;1.0;0.33658086704320356;0.761161734086393;0.26905147977407795
1083;1;8000;additive;logistic;0.0;1.0;0.33708086704320356;0.989838265913586;0.25975147977407737
1084;1;8000;additive;logistic;0.0;1.0;0.3375808670432035;0.7408382659136008;0.25045147977407806
1085;1;8000;additive;logistic;0.0;1.0;0.3380808670432035;0.4918382659136157;0.24115147977407747
1086;1;8000;additive;logistic;0.0;1.0;0.3385808670432036;0.24283826591359442;0.23185147977407683
1087;1;8000;additive;logistic;0.0;1.0;0.33908086704320356;0.006161734086391313;0.2225514797740776
1088;1;8000;additive;logistic;0.0;1.0;0.33958086704320367;0.25516173408641185;0.21325147977407702
1089;1;8000;additive;logistic;0.0;1.0;0.3400808670432036;0.504161734086397;0.20395147977407777
109;1;8000;additive;logistic;0.0;1.0;0.14991913295679637;0.48416173408641;0.28204852022592225
1090;1;8000;additive;logistic;0.0;1.0;0.3405808670432036;0.7531617340864183;0.19465147977407715
1091;1;8000;additive;logistic;0.0;1.0;0.3410808670432036;0.9978382659135967;0.1853514797740779
1092;1;8000;additive;logistic;0.0;1.0;0.34158086704320356;0.7488382659135755;0.17605147977407729
1093;1;8000;additive;logistic;0.0;1.0;0.3420808670432035;0.4998382659135904;0.16675147977407803
1094;1;8000;additive;logistic;0.0;1.0;0.3425808670432035;0.2508382659136053;0.15745147977407742
1095;1;8000;additive;logistic;0.0;1.0;0.3430808670432036;0.0018382659135853796;0.14815147977407683
1096;1;8000;additive;logistic;0.0;1.0;0.34358086704320356;0.24716173408640096;0.13885147977407755
1097;1;8000;additive;logistic;0.0;1.0;0.3440808670432037;0.4961617340864223;0.12955147977407697
1098;1;8000;additive;logistic;0.0;1.0;0.3445808670432037;0.7451617340864074;0.1202514797740777
1099;1;8000;additive;logistic;0.0;1.0;0.3450808670432036;0.9941617340864277;0.11095147977407709
11;1;8000;additive;logistic;0.0;1.0;0.19891913295679645;0.08216173408640765;0.029351479774077885
110;1;8000;additive;logistic;0.0;1.0;0.14941913295679643;0.7331617340864086;0.2913485202259222
1100;1;8000;additive;logistic;0.0;1.0;0.34558086704320357;0.7568382659135864;0.10165147977407785
1101;1;8000;additive;logistic;0.0;1.0;0.34608086704320357;0.5078382659136013;0.0923514797740786
1102;1;8000;additive;logistic;0.0;1.0;0.3465808670432035;0.25883826591358;0.08305147977407798
1103;1;8000;additive;logistic;0.0;1.0;0.3470808670432035;0.009838265913595323;0.07375147977407735
1104;1;8000;additive;logistic;0.0;1.0;0.3475808670432036;0.23916173408639008;0.06445147977407675
1105;1;8000;additive;logistic;0.0;1.0;0.34808086704320357;0.4881617340863752;0.05515147977407751
1106;1;8000;additive;logistic;0.0;1.0;0.3485808670432037;0.7371617340863965;0.0458514797740769
1107;1;8000;additive;logistic;0.0;1.0;0.3490808670432036;0.9861617340863817;0.03655147977407764
1108;1;8000;additive;logistic;0.0;1.0;0.3495808670432036;0.7648382659135973;0.02725147977407705
1109;1;8000;additive;logistic;0.0;1.0;0.3500808670432036;0.5158382659136121;0.01795147977407776
111;1;8000;additive;logistic;0.0;1.0;0.14891913295679646;0.9821617340864117;0.2993514797740774
1110;1;8000;additive;logistic;0.0;1.0;0.35058086704320357;0.266838265913627;0.008651479774078485
1111;1;8000;additive;logistic;0.0;1.0;0.3510808670432035;0.01783826591360599;6.48520225922572E-4
1112;1;8000;additive;logistic;0.0;1.0;0.3515808670432035;0.2311617340863792;0.009948520225922696
1113;1;8000;additive;logistic;0.0;1.0;0.3520808670432036;0.4801617340864005;0.01924852022592329
1114;1;8000;additive;logistic;0.0;1.0;0.35258086704320357;0.7291617340863855;0.02854852022592251
1115;1;8000;additive;logistic;0.0;1.0;0.3530808670432037;0.978161734086407;0.03784852022592312
1116;1;8000;additive;logistic;0.0;1.0;0.3535808670432037;0.7728382659136082;0.0471485202259224
1117;1;8000;additive;logistic;0.0;1.0;0.35408086704320363;0.5238382659135868;0.056448520225923005
1118;1;8000;additive;logistic;0.0;1.0;0.3545808670432036;0.2748382659136017;0.06574852022592224
1119;1;8000;additive;logistic;0.0;1.0;0.3550808670432036;0.025838265913616543;0.07504852022592148
112;1;8000;additive;logistic;0.0;1.0;0.14841913295679643;0.7688382659135942;0.2900514797740778
