iteration;iteration_exp;replicate;time;last_generation;population;bmi_category_prop;am_bmi;am_pgs;genetic_variance;vertical_trans_variance;average_bmi;sd_bmi
0;1;1;1971.0;51.0;14425;[0.07258232235701906, 0.492686308492201, 0.3552166377816291, 0.07951473136915078];0.781795871246155;-2.0704305056448618E-4;0.0;0.0;24.335262311049636;4.018996239665236
0;10;1;1947.0;51.0;14661;[0.07100470636382239, 0.4980560671168406, 0.35359116022099446, 0.07734806629834254];0.7720434889759642;0.007156379437040809;0.0;0.0;24.325982824767223;3.9710658525978926
9;100;1;1960.0;51.0;14611;[0.025118061734309766, 0.3298199986311683, 0.4435014714940798, 0.20156046814044212];0.7887957485160596;0.11100589793842228;0.09910905924286857;0.05176390982031648;26.544591104138792;4.070681610907652
10;101;1;1959.0;51.0;14689;[0.008237456600177002, 0.16719994553747702, 0.4162979100006808, 0.4082646878616652];0.7657839594774235;0.17511549086585293;0.0967501072287405;0.21657737779781588;28.943719949762837;4.230088269021774
10;102;1;2018.0;52.0;14513;[0.006476951698477227, 0.15840970164679943, 0.4196926893130297, 0.41542065734169364];0.7640565349739833;0.16134047088920514;0.09437218973204388;0.21255487465271733;29.05449459528134;4.150253181357456
10;103;1;1958.0;51.0;14670;[0.007839127471029312, 0.16203135650988412, 0.42733469665985, 0.40279481935923656];0.7620031809457516;0.16749664970852463;0.09532345446895964;0.20963938327025197;28.923919933654602;4.146863093834493
10;104;1;1983.0;51.0;14471;[0.0082924469628913, 0.1766291203095847, 0.4184921567272476, 0.3965862760002764];0.7632716009620562;0.19291543225878968;0.10123590665784682;0.21121946173773545;28.814603349373552;4.231631878570397
10;105;1;1978.0;51.0;14588;[0.007951741157115437, 0.15601864546202357, 0.4095832190841788, 0.4264463942966822];0.7556738133801565;0.17297630358392266;0.0968826960178544;0.20164032376549598;29.16457665412983;4.23472627649768
10;106;1;1972.0;51.0;14763;[0.008534850640113799, 0.17523538576170156, 0.4368353315721737, 0.379394432026011];0.7753108641450679;0.18160484056604215;0.10241545362153079;0.21498311089823283;28.6889327647642;4.128784709198547
10;107;1;1955.0;51.0;14671;[0.009269988412514484, 0.18274146274964215, 0.4302365210278781, 0.37775202780996525];0.77397429490724;0.17909262464272638;0.09817853725539635;0.21208625418804364;28.6184912525449;4.167226657158704
10;108;1;1949.0;51.0;14957;[0.006953266029283947, 0.15671591896770742, 0.4186668449555392, 0.4176639700474694];0.7647500700838709;0.15966813631808963;0.09663035923876472;0.1998763979106336;29.07561613947883;4.177105311395187
10;109;1;1968.0;51.0;14730;[0.007603530210454854, 0.15220638153428379, 0.4028513238289206, 0.4373387644263408];0.7610633077147114;0.17474102456669316;0.09507062815683961;0.20271935418195777;29.22273376487982;4.214072645449757
1;11;1;1939.0;51.0;14877;[0.06930160650668818, 0.49163137729380924, 0.35491026416616256, 0.08415675203334005];0.7875782164263916;0.01706317691770745;0.0;0.05191648942016572;24.417638145936834;4.018682724729955
10;110;1;2021.0;51.0;14761;[0.005893909626719057, 0.15608698597655984, 0.4216516496172346, 0.4163674547794865];0.766160899189439;0.14074906667770382;0.09356435130773803;0.2073423241978653;29.05449476284891;4.105629816104834
11;111;1;1958.0;51.0;15091;[0.0033794977138691938, 0.07017427605857796, 0.2991186800079518, 0.6273275462196011];0.6988053579188642;0.21191868014970802;0.10303173096396216;0.35678134306326664;31.04971999383764;4.016438477580019
11;112;1;2009.0;51.0;14857;[0.001750016827084876, 0.04758699602880797, 0.270041058087097, 0.6806219290570101];0.6504337373032575;0.19142730561416416;0.10990403591745557;0.3438587673524528;31.581683523868346;3.812160421973619
11;113;1;1947.0;51.0;14592;[0.0012335526315789473, 0.06064967105263158, 0.2973547149122807, 0.6407620614035088];0.6766370055796188;0.21941758350585336;0.10763773649292385;0.35126263581416817;31.229942967634486;3.888503419985114
11;114;1;2002.0;51.0;14486;[0.001794836393759492, 0.05405218831975701, 0.27026094159878505, 0.6738920336876985];0.6718415018734041;0.1880624166351658;0.10394638153870181;0.3473989016720585;31.535213872889848;3.892520908620634
11;115;1;1979.0;51.0;14633;[0.002323515342035126, 0.051459030957424996, 0.26822934463199616, 0.6779881090685437];0.6564020819962738;0.1987490765205387;0.11285783194845586;0.33385235079539405;31.53260046273982;3.849101229312357
11;116;1;1936.0;51.0;14791;[0.0021634777905483065, 0.06389020350212968, 0.2903792847001555, 0.6435670340071665];0.6801693606610889;0.2140810246361381;0.11648315461339813;0.3465319505459626;31.242628904121645;3.97135212497743
11;117;1;1969.0;51.0;14978;[0.0020029376418747497, 0.057083722793430366, 0.28521832020296434, 0.6556950193617306];0.6586999327846462;0.15681597320688448;0.09946253840113714;0.3568126631538877;31.33744200341105;3.8682694529670263
11;118;1;1989.0;51.0;14711;[0.0015634559173407655, 0.05349738291074706, 0.2742165726327238, 0.6707225885391883];0.6497119382601322;0.2011529537890769;0.10770547652185875;0.3334997184219385;31.447935073241485;3.8359964476107793
11;119;1;1953.0;51.0;14529;[0.0015142129534035378, 0.05871016587514626, 0.28604859247023195, 0.6537270287012182];0.6741813839703729;0.20025437833340182;0.1129184087499359;0.3460221559156537;31.319683313570525;3.886377225943214
