iteration;replicate;time;last_generation;population;bmi_category_prop;am;kid-father-cor;kid-mother-cor
1;1;3591.0;100.0;5775;[0.034805194805194804, 0.15411255411255412, 0.4109090909090909, 0.4001731601731602];0.8532637377449577;0.9269865433259643;0.9256437212414164
10;1;3525.0;100.0;5972;[0.009042196918955124, 0.055425318151373075, 0.36302746148693904, 0.5725050234427328];0.6332443683087772;0.7828648986873431;0.7730908513339305
100;1;3484.0;100.0;5988;[0.004843019372077488, 0.09853039412157649, 0.39595858383433535, 0.5006680026720107];0.2304550360806954;0.5663246035813129;0.5911538575054118
1000;1;3339.0;100.0;5824;[0.11109203296703296, 0.26854395604395603, 0.35113324175824173, 0.2692307692307692];0.14388193991313944;0.40958215728900366;0.43256810685359753
1001;1;3448.0;100.0;5951;[0.1251890438581751, 0.2409679045538565, 0.36027558393547304, 0.2735674676524954];0.06521321444906515;0.4214164664428468;0.40712046535918883
1002;1;3383.0;100.0;5771;[0.10795356090798822, 0.2595737307225784, 0.3593831225090972, 0.27308958586033616];0.23019969196639642;0.4458441593431855;0.44759812868514254
1003;1;3407.0;100.0;5956;[0.1051040967092008, 0.2635997313633311, 0.3853257219610477, 0.24597044996642042];0.45030248665543343;0.49825517989742235;0.511914529590313
1004;1;3400.0;100.0;5870;[0.10715502555366269, 0.24684838160136285, 0.386541737649063, 0.25945485519591144];0.7533543365653667;0.5574282436863104;0.5737120650982017
1005;1;3394.0;100.0;5943;[0.09372370856469796, 0.2626619552414605, 0.39811542991755006, 0.24549890627629142];0.8307029904377953;0.6028237219079609;0.6050014312932922
1006;1;3498.0;100.0;5875;[0.10485106382978723, 0.2622978723404255, 0.3865531914893617, 0.24629787234042552];0.6173376091209394;0.5295863932377194;0.550793756352551
1007;1;3383.0;100.0;5810;[0.11876075731497418, 0.2640275387263339, 0.3695352839931153, 0.2476764199655766];0.40412206706248627;0.5227909472261291;0.5027447962236843
1008;1;3541.0;100.0;5921;[0.13291673703766255, 0.24370883296740414, 0.3436919439283905, 0.27968248606654283];0.15949168218241885;0.45019471670233224;0.4245141994154565
1009;1;3427.0;100.0;5872;[0.1306198910081744, 0.2661784741144414, 0.3423024523160763, 0.2608991825613079];0.04279075953546539;0.42225731300766517;0.4247562435958948
101;1;3384.0;100.0;5931;[0.004383746417130332, 0.12527398415107063, 0.4027988534817063, 0.46754341595009274];0.025871159505007763;0.4481666441509135;0.47579872819780167
1010;1;3500.0;100.0;5899;[0.11713849805051704, 0.2722495338192914, 0.35667062213934564, 0.2539413459908459];0.23530620992396245;0.4567728216012357;0.45587661029335946
1011;1;3513.0;100.0;5950;[0.09781512605042017, 0.27210084033613446, 0.3729411764705882, 0.2571428571428571];0.4784216414129073;0.5324794244466701;0.48877174113055194
1012;1;3430.0;100.0;5839;[0.11029285836615858, 0.2663127247816407, 0.39338927898612774, 0.23000513786607296];0.7799046584776121;0.6152678585613681;0.615818714043913
1013;1;3405.0;100.0;5793;[0.1120317624719489, 0.2679095460037977, 0.398757120662869, 0.22130157086138444];0.8878783488716977;0.6161947732903785;0.6232073485804942
1014;1;3482.0;100.0;6006;[0.12004662004662005, 0.27855477855477856, 0.3677988677988678, 0.2335997335997336];0.5714255962889482;0.5668068091845355;0.5710047934686202
1015;1;3521.0;100.0;5795;[0.11786022433132011, 0.27558239861949957, 0.3577221742881795, 0.24883520276100085];0.3470870840454766;0.48743531262585194;0.4918048770831004
1016;1;3576.0;100.0;5952;[0.13944892473118278, 0.30426747311827956, 0.3187163978494624, 0.23756720430107528];0.15523009073139213;0.4307101132117784;0.4413094146440206
1017;1;3526.0;100.0;6009;[0.1527708437343984, 0.2760858711932102, 0.327009485771343, 0.24413379930104842];0.04011801945019376;0.390377730459084;0.3984570666330689
1018;1;3533.0;100.0;5920;[0.13834459459459458, 0.2704391891891892, 0.34881756756756754, 0.24239864864864866];0.2562269693693127;0.47337199905601957;0.4773980844844728
1019;1;3510.0;100.0;5809;[0.1468411086245481, 0.2919607505594767, 0.3516956446892753, 0.20950249612669994];0.4633245346872665;0.5559414625247386;0.5594065533111736
102;1;3375.0;100.0;5969;[0.0015077902496230524, 0.08946222147763444, 0.40073714189981574, 0.5082928463729268];0.1792861177188354;0.5184173554274453;0.49146110014544586
1020;1;3521.0;100.0;5849;[0.12121730210292357, 0.29492220892460247, 0.36946486578902377, 0.21439562318345015];0.7818794489832146;0.6252606746252729;0.611340762653006
1021;1;3628.0;100.0;6021;[0.11825278192991197, 0.27918950340475, 0.38365719980069757, 0.21890051486464043];0.9494000011037832;0.6522331544042225;0.6467815319127855
1022;1;3533.0;100.0;5782;[0.12365963334486337, 0.2815634728467658, 0.3689034936008302, 0.22587340020754065];0.6617593199292002;0.5783813677552857;0.5873754665535359
1023;1;3567.0;100.0;5786;[0.1253024541997926, 0.300034566194262, 0.35153819564465955, 0.22312478396128585];0.4051377655287586;0.5201740506020545;0.5161969304719815
1024;1;3470.0;100.0;5781;[0.14218993253762324, 0.277460646946895, 0.3463068673239924, 0.23404255319148937];0.18864326249798932;0.45839837674347794;0.45083634964985236
1025;1;3530.0;100.0;5859;[0.1626557433009046, 0.2821300563236047, 0.3222392899812255, 0.23297491039426524];0.040511828477387254;0.3949349445687951;0.41877667480893005
1026;1;3568.0;100.0;5873;[0.1961518814915716, 0.3078494806742721, 0.3107440830921165, 0.18525455474203983];0.2522409251687855;0.4822980483251969;0.4545846888251604
1027;1;3735.0;100.0;5865;[0.1517476555839727, 0.30127877237851663, 0.3416879795396419, 0.2052855924978687];0.48115180231659194;0.5574227756152679;0.5384741986103708
1028;1;3600.0;100.0;5889;[0.1477330616403464, 0.32755985736118187, 0.34708779079640006, 0.17761929020207165];0.7690210493146035;0.6077918188272461;0.6158581707507167
1029;1;3621.0;101.0;5756;[0.15774843641417652, 0.30576789437109103, 0.35180681028492006, 0.18467685892981237];0.8660346540007989;0.6384055606958217;0.631340887145197
103;1;3364.0;100.0;5784;[0.016424619640387276, 0.11168741355463348, 0.3900414937759336, 0.48184647302904565];0.41258671040897477;0.6331080640106634;0.6304481366854181
1030;1;3589.0;100.0;5785;[0.16784788245462404, 0.3439930855661193, 0.3286084701815039, 0.15955056179775282];0.6644727841380397;0.5802579557135822;0.5986149545791628
1031;1;3500.0;100.0;5782;[0.18626772742995504, 0.32151504669664477, 0.3149429263230716, 0.1772742995503286];0.415316827306455;0.5244539897803027;0.5310425986136054
1032;1;3502.0;100.0;5867;[0.20402249872166353, 0.313107209817624, 0.2977671723197546, 0.1851031191409579];0.1676662734657702;0.46399886369221505;0.4451618014560184
1033;1;3539.0;100.0;5824;[0.21617445054945056, 0.27918956043956045, 0.30254120879120877, 0.20209478021978022];0.031072285856559405;0.39292163959854826;0.42285922278573557
1034;1;3708.0;100.0;5970;[0.17035175879396985, 0.29346733668341707, 0.32964824120603015, 0.2065326633165829];0.2417108139705515;0.4717118610636349;0.48875582999910394
1035;1;3539.0;100.0;5771;[0.16686882689308613, 0.29492289031363716, 0.34309478426615836, 0.19511349852711835];0.46023986634350383;0.5405845609200223;0.5274358269621157
1036;1;3510.0;100.0;5862;[0.1434663937222791, 0.3162743091095189, 0.35551006482429204, 0.18474923234390994];0.7662679274373703;0.6221482764457408;0.6162504879270553
1037;1;3581.0;100.0;5900;[0.15101694915254238, 0.3123728813559322, 0.3494915254237288, 0.1871186440677966];0.8942808414405569;0.655745819869042;0.6581947693020481
1038;1;3536.0;100.0;6002;[0.1449516827724092, 0.299566811062979, 0.3572142619126958, 0.19826724425191602];0.6147221487249485;0.5640089874404238;0.5617906518609352
1039;1;3545.0;100.0;5780;[0.15103806228373703, 0.2930795847750865, 0.3313148788927336, 0.2245674740484429];0.3921702459066495;0.5207594426441222;0.5244198583171964
