iteration;replicate;time;last_generation;population;bmi_category_prop;am;kid-father-cor;kid-mother-cor
1;1;3725.0;100.0;5842;[0.055802807257788425, 0.1735706949674769, 0.40688120506675796, 0.36374529270797673];0.9085582157334215;0.9183727318806342;0.9139082091593294
10;1;3506.0;100.0;5730;[0.011692844677137871, 0.06631762652705062, 0.3621291448516579, 0.5598603839441536];0.6638438137752084;0.7759800248977908;0.7904617146792038
100;1;3313.0;100.0;5845;[0.005303678357570573, 0.07938408896492728, 0.43028229255774164, 0.48502994011976047];0.2676497281777394;0.5757731069211641;0.5635433046570653
1000;1;3523.0;100.0;5781;[0.10759384189586577, 0.2759038228680159, 0.3549558899844318, 0.2615464452516866];0.14771962602961952;0.44584327769106735;0.44624339793685686
1001;1;3437.0;100.0;5786;[0.11700656757690978, 0.24455582440373314, 0.35845143449706185, 0.2799861735222952];0.07457084757000229;0.3896532813294718;0.43051918833773556
1002;1;3452.0;100.0;5893;[0.10792465637196674, 0.2319701340573562, 0.37909384014932973, 0.28101136942134736];0.28443790958709403;0.48250324073814177;0.4691943630560027
1003;1;3417.0;100.0;5904;[0.10196476964769648, 0.24627371273712736, 0.37737127371273715, 0.27439024390243905];0.5199174971548897;0.5287184286012853;0.5345010620500295
1004;1;3468.0;101.0;5921;[0.10082756291167033, 0.2661712548555987, 0.3901368012160108, 0.24286438101672014];0.7572149793894405;0.5639796757533114;0.5648814379647937
1005;1;3475.0;100.0;5964;[0.0903755868544601, 0.2505030181086519, 0.3983903420523139, 0.2607310529845741];0.8799876195261921;0.6032947390059282;0.6013774180594847
1006;1;3365.0;100.0;5782;[0.10048426150121065, 0.24956762365963334, 0.3893116568661363, 0.2606364579730197];0.640286796870248;0.5533245303910922;0.5518104776165113
1007;1;3371.0;100.0;5918;[0.12166272389320716, 0.2553227441703278, 0.37461980398783373, 0.2483947279486313];0.362638099588079;0.4922753560493771;0.4585058046851399
