iteration;replicate;time;last_generation;population;bmi_category_prop;am_bmi;am_pgs;genetic_variance;vertical_trans_variance;average_bmi;sd_bmi
1;1;1982.0;51.0;14930;[0.027796383121232417, 0.34373744139316814, 0.44581379772270596, 0.1826523777628935];0.0;0.0;0.32857579854087066;0.0;26.337401456811538;4.041737820520207
10;1;1954.0;51.0;14976;[0.020766559829059828, 0.33340010683760685, 0.45860042735042733, 0.18723290598290598];0.0;0.0;0.3103351715839611;0.0;26.50829893144126;3.9537816854902146
100;1;2026.0;51.0;14900;[0.040268456375838924, 0.4040939597315436, 0.41516778523489933, 0.1404697986577181];0.0;0.0;0.38690194225847396;0.0;25.576012474360436;4.062107160456344
1000;1;2008.0;51.0;15049;[0.049438500897069575, 0.43996278822513124, 0.39916273506545286, 0.11143597581234634];0.0;0.0;0.20133186462652944;0.0;25.10650001137567;4.003476623121722
1001;1;2007.0;51.0;14332;[0.04165503767792353, 0.4159921853195646, 0.41250348869662296, 0.12984928830588893];0.0;0.0;0.20451424719141897;0.0;25.460458173308194;4.006854717704898
1002;1;1971.0;51.0;14912;[0.03467006437768241, 0.38204130901287553, 0.4333422746781116, 0.14994635193133046];0.0;0.0;0.2129730878156636;0.0;25.841836702800673;4.011885851300611
1003;1;1980.0;51.0;14528;[0.04006057268722467, 0.3920704845814978, 0.4205671806167401, 0.14730176211453744];0.0;0.0;0.22024310456803983;0.0;25.692181187432684;4.097894779875732
1004;1;2028.0;51.0;14338;[0.04282326684335332, 0.41784070302692145, 0.41860789510391966, 0.12072813502580555];0.0;0.0;0.20340924717711673;0.0;25.380425726191465;3.9651519946004785
1005;1;1983.0;51.0;14516;[0.05807384954532929, 0.4599751997795536, 0.3858500964453017, 0.09610085422981537];0.0;0.0;0.19589009878925492;0.0;24.812504027926668;3.9877000536137692
1006;1;2003.0;51.0;14468;[0.055156206801216474, 0.4518938346696157, 0.38512579485761683, 0.10782416367155101];0.0;0.0;0.19300539948297235;0.0;24.94423278898788;4.056076407806462
1007;1;2060.0;51.0;14942;[0.05119796546647035, 0.44364877526435553, 0.39927720519341453, 0.1058760540757596];0.0;0.0;0.19617166526534385;0.0;25.061714891454397;3.9960852454049403
1008;1;2003.0;51.0;14916;[0.04994636631804773, 0.4456958970233307, 0.39367122552963263, 0.110686511128989];0.0;0.0;0.1933829401956997;0.0;25.08671336385312;4.017316188835188
1009;1;1987.0;51.0;14808;[0.05328200972447326, 0.4488789843327931, 0.39005942733657484, 0.10777957860615883];0.0;0.0;0.20606069482278966;0.0;24.979856140922823;4.051563734622947
101;1;2056.0;51.0;14490;[0.037819185645272604, 0.36846100759144235, 0.42422360248447205, 0.16949620427881298];0.0;0.0;0.4075969574546032;0.0;25.96697614545319;4.189849687652435
1010;1;1981.0;51.0;14486;[0.05439734916471076, 0.4604445671683004, 0.38685627502416126, 0.09830180864282756];0.0;0.0;0.21811976882504203;0.0;24.84970027194327;4.004826356970652
1011;1;2023.0;51.0;14690;[0.06099387338325391, 0.4650782845473111, 0.3741320626276379, 0.09979577944179714];0.0;0.0;0.21679518764767255;0.0;24.76927921129002;4.056075919486308
