iteration;replicate;time;last_generation;population;bmi_category_prop;am_bmi;am_pgs;genetic_variance;average_bmi
1;1;72.0;1.0;1348;[0.06231454005934718, 0.49554896142433236, 0.36275964391691395, 0.07937685459940653];0.0;0.0;0.3083476531902397;24.463247324668096
10;1;72.0;1.0;1401;[0.06852248394004283, 0.5117773019271948, 0.3483226266952177, 0.07137758743754462];0.0;0.0;0.30025859370976;24.21166045595475
11;1;72.0;1.0;1410;[0.062411347517730496, 0.5120567375886524, 0.35106382978723405, 0.07446808510638298];0.0;0.0;0.28937554046167313;24.29591762211567
12;1;72.0;1.0;1470;[0.07210884353741497, 0.4857142857142857, 0.35034013605442177, 0.09183673469387756];0.0;0.0;0.289389604207444;24.49670755830784
13;1;72.0;1.0;1400;[0.07928571428571428, 0.5014285714285714, 0.33285714285714285, 0.08642857142857142];0.0;0.0;0.286889632174909;24.352643624127612
14;1;72.0;1.0;1617;[0.07050092764378478, 0.5021645021645021, 0.3623995052566481, 0.06493506493506493];0.0;0.0;0.337952040973636;24.27755781013591
15;1;72.0;1.0;1377;[0.06245461147421932, 0.5119825708061002, 0.3493100944081336, 0.07625272331154684];0.0;0.0;0.3151363527429791;24.24692639634493
16;1;72.0;1.0;1654;[0.06348246674727932, 0.5054413542926239, 0.34945586457073763, 0.08162031438935913];0.0;0.0;0.29778360343250065;24.3360814248992
17;1;72.0;1.0;1525;[0.06491803278688525, 0.5140983606557377, 0.34295081967213115, 0.0780327868852459];0.0;0.0;0.3020853460096896;24.342477892875788
18;1;72.0;1.0;1549;[0.07424144609425436, 0.4777275661717237, 0.3705616526791478, 0.0774693350548741];0.0;0.0;0.2702899261672824;24.406879430470738
19;1;72.0;1.0;1551;[0.06640876853642812, 0.5087040618955513, 0.3488072211476467, 0.07607994842037395];0.0;0.0;0.29041802212034246;24.306027391765973
2;1;72.0;1.0;1547;[0.07627666451195864, 0.5003232062055591, 0.35229476405946997, 0.07110536522301228];0.0;0.0;0.29699213784795975;24.219242098798386
20;1;72.0;1.0;1435;[0.0808362369337979, 0.5010452961672474, 0.3400696864111498, 0.07804878048780488];0.0;0.0;0.30219244425139075;24.285330091767868
21;1;72.0;1.0;1617;[0.08163265306122448, 0.4706246134817563, 0.3518862090290662, 0.095856524427953];0.0;0.0;0.2641440445926447;24.408778562066313
22;1;72.0;1.0;1640;[0.06829268292682927, 0.48597560975609755, 0.3542682926829268, 0.09146341463414634];0.0;0.0;0.3241725281143441;24.49351071017805
23;1;72.0;1.0;1616;[0.06373762376237624, 0.5012376237623762, 0.35767326732673266, 0.07735148514851485];0.0;0.0;0.32813738165454254;24.417305086600937
24;1;72.0;1.0;1538;[0.06371911573472042, 0.5, 0.3550065019505852, 0.0812743823146944];0.0;0.0;0.31958430107312197;24.40896655510974
25;1;72.0;1.0;1390;[0.07122302158273382, 0.4870503597122302, 0.360431654676259, 0.08129496402877698];0.0;0.0;0.3185783957841808;24.376447976593404
26;1;72.0;1.0;1431;[0.07127882599580712, 0.47379454926624737, 0.36547868623340324, 0.08944793850454227];0.0;0.0;0.2860357469311712;24.462172836910423
27;1;72.0;1.0;1443;[0.0693000693000693, 0.5058905058905059, 0.3645183645183645, 0.060291060291060294];0.0;0.0;0.3391155598946902;24.31891872077207
28;1;72.0;1.0;1419;[0.07751937984496124, 0.47568710359408034, 0.3558844256518675, 0.09090909090909091];0.0;0.0;0.27407188081381023;24.479265267068765
29;1;72.0;1.0;1669;[0.07189934092270821, 0.49310964649490713, 0.35949670461354105, 0.07549430796884361];0.0;0.0;0.31138887808674354;24.307666497059742
3;1;72.0;1.0;1488;[0.0625, 0.48118279569892475, 0.3797043010752688, 0.07661290322580645];0.0;0.0;0.31646162742091405;24.533198720612592
30;1;72.0;1.0;1284;[0.06386292834890965, 0.4750778816199377, 0.37694704049844235, 0.08411214953271028];0.0;0.0;0.3137847963903761;24.63403693926999
4;1;72.0;1.0;1542;[0.07003891050583658, 0.4584954604409857, 0.39234760051880674, 0.07911802853437094];0.0;0.0;0.2811437588608288;24.57683054513324
5;1;72.0;1.0;1614;[0.06505576208178439, 0.5315985130111525, 0.34820322180916974, 0.05514250309789343];0.0;0.0;0.33710664525180317;24.023714157608616
6;1;72.0;1.0;1437;[0.06680584551148225, 0.49617258176757134, 0.35908141962421714, 0.0779401530967293];0.0;0.0;0.2732915858804653;24.34623736184742
7;1;72.0;1.0;1403;[0.0691375623663578, 0.4896650035637919, 0.3677833214540271, 0.07341411261582323];0.0;0.0;0.33972851917316227;24.3529407232879
8;1;72.0;1.0;1481;[0.074949358541526, 0.4962862930452397, 0.34233625928426736, 0.08642808912896692];0.0;0.0;0.2823648433134512;24.351733213547284
9;1;72.0;1.0;1462;[0.08207934336525308, 0.4849521203830369, 0.3433652530779754, 0.08960328317373462];0.0;0.0;0.3122762254835645;24.297725149511727
