iteration;replicate;time;last_generation;population;bmi_category_prop;am_bmi;am_pgs;genetic_variance;vertical_trans_variance;average_bmi;sd_bmi
1;1;1950.0;51.0;14487;[0.024642783184924414, 0.32781114102298614, 0.4506108925243322, 0.1969351832677573];0.0;0.0;0.16551521469908295;0.0;26.51587131483673;4.032302976924221
10;1;2031.0;51.0;14554;[0.017452246805002063, 0.2353304933351656, 0.43108423801016904, 0.3161330218496633];0.0;0.0;0.5052524212068765;0.0;27.87243972560179;4.331590571692692
100;1;1953.0;51.0;14588;[0.02035919934192487, 0.3141623251987935, 0.45263230052097614, 0.21284617493830546];0.0;0.0;0.19969968251477893;0.0;26.76924335647918;4.03448274153343
1000;1;1960.0;51.0;14814;[0.02868907789928446, 0.37613068718779535, 0.4357364655056028, 0.15944376940731741];0.0;0.0;0.21392078255083596;0.0;26.001581599333903;3.989096478976535
10000;1;1978.0;51.0;14806;[0.03410779413751182, 0.38315547750911794, 0.4349588004862893, 0.1477779278670809];0.0;0.0;0.11954592953038312;0.0;25.827901765817476;4.010958206970565
10001;1;1956.0;51.0;14880;[0.06827956989247312, 0.47956989247311826, 0.36565860215053764, 0.08649193548387096];0.0;0.0;0.014116390795873731;0.0;24.50970281258126;4.004286755013857
10002;1;1933.0;51.0;15006;[0.06450753032120485, 0.48567239770758364, 0.366453418632547, 0.08336665333866454];0.0;0.0;0.014370137849897078;0.0;24.518276489622934;3.95740392143398
10003;1;1970.0;51.0;14524;[0.028160286422473146, 0.3430184522170201, 0.4511842467639769, 0.1776370145965299];0.0;0.0;0.23261145949481646;0.0;26.29238974857519;4.0228935914406225
10004;1;1993.0;51.0;15028;[0.07033537396859196, 0.48549374500931597, 0.3610593558690445, 0.08311152515304765];0.0;0.0;0.013748068287366988;0.0;24.452562255329198;4.0318996960458735
10005;1;2013.0;51.0;14499;[0.03172632595351404, 0.3684392027036347, 0.4407200496585971, 0.15911442168425408];0.0;0.0;0.24605252248397988;0.0;26.02012046995868;4.02518888881595
