iteration;iteration_exp;replicate;time;last_generation;population;bmi_category_prop;am_bmi;am_pgs;genetic_variance;vertical_trans_variance;average_bmi;sd_bmi
1;1;1;1948.0;51.0;14638;[0.07405383249077743, 0.48080338844104387, 0.36104659106435305, 0.08409618800382566];0.0;0.0;0.050701703346403955;0.04929775323512764;24.425223114126716;4.05071744835998
10;10;1;1999.0;51.0;14467;[0.06552844404506808, 0.4744591138453031, 0.3698762701320246, 0.09013617197760421];0.0;0.0;0.042228443354592284;0.024474162360857966;24.585135134793358;4.051012213138045
100;100;1;1974.0;51.0;14652;[0.06586131586131586, 0.47365547365547367, 0.3761261261261261, 0.08435708435708436];0.0;0.0;0.0015154720533595725;0.26288733066166386;24.562560587752607;3.993700185465586
1000;1000;1;1944.0;51.0;15052;[0.0015280361413765613, 0.0528169014084507, 0.27238905128886526, 0.6732660111613075];0.0;0.0;0.43511762866976506;0.03283350738477993;31.799371990127764;4.1833727984299225
1001;1001;1;1961.0;51.0;14794;[0.006827092064350412, 0.1733811004461268, 0.43105312964715425, 0.38873867784236854];0.0;0.0;0.41413561050731634;0.04074488546866007;28.790541813326797;4.144146319739667
1002;1002;1;1980.0;51.0;14561;[0.006661630382528673, 0.14456424696106038, 0.4132957901243047, 0.4354783325321063];0.0;0.0;0.4257347445898578;0.031833475459428995;29.274910776962454;4.181913679821921
1003;1003;1;1927.0;51.0;14622;[0.001436192039392696, 0.05416495691423882, 0.2816304199151963, 0.6627684311311722];0.0;0.0;0.4300739307507;0.018989016109599355;31.653964700042906;4.113677896556384
1004;1004;1;1941.0;51.0;15089;[1.3254688846179335E-4, 0.02650937769235867, 0.18457154218304725, 0.7887865332361322];0.0;0.0;0.43840204087844176;0.011933185538835002;33.186574801653165;4.031680771433126
1005;1005;1;1954.0;51.0;14964;[4.0096230954290296E-4, 0.02044907778668805, 0.16499599037690457, 0.8141539695268645];0.0;0.0;0.4215311444365604;0.008261938695548704;33.52202372384541;4.025611115474499
1006;1006;1;1969.0;51.0;14418;[6.935774726036898E-4, 0.024899431266472465, 0.182896379525593, 0.7915106117353309];0.0;0.0;0.44866671242920514;0.003878040714349201;33.27281507451957;4.094668963001982
1007;1007;1;1974.0;51.0;14550;[0.0019243986254295533, 0.07017182130584193, 0.31676975945017183, 0.6111340206185567];0.0;0.0;0.47280813085919865;4.389419114419044E-6;31.127016599264405;4.152778362536393
1008;1008;1;1962.0;51.0;14389;[0.0028493988463409547, 0.10278685106678713, 0.3633331016748905, 0.5310306484119813];0.0;0.0;0.42867134814779584;0.005867304065224387;30.26115523293194;4.176440518723851
1009;1009;1;2015.0;51.0;15127;[0.0062140543399219934, 0.17511733985588682, 0.44761023335757255, 0.37105837244661866];0.0;0.0;0.43741716218160753;0.014304202744066566;28.668397030128336;4.062174914447319
101;101;1;1986.0;51.0;14457;[0.06751054852320675, 0.4886905997094833, 0.3601715431970672, 0.0836273085702428];0.0;0.0;0.002019710101903284;0.24622460662856402;24.455763200415696;4.016596976239939
1010;1010;1;2000.0;51.0;14490;[0.0051069703243616284, 0.14416839199447895, 0.40924775707384403, 0.4414768806073154];0.0;0.0;0.4370000995381897;0.01962596996289189;29.346616453418118;4.149473373701479
1011;1011;1;1975.0;51.0;14495;[0.0017937219730941704, 0.0661607450845119, 0.2899620558813384, 0.6420834770610555];0.0;0.0;0.44265164250860706;0.019730385821688474;31.36721904149183;4.140930205769159
1012;1012;1;1956.0;51.0;14780;[9.472259810554803E-4, 0.033423545331529095, 0.2046684709066306, 0.7609607577807849];0.0;0.0;0.46239107634041515;0.02029481274089544;32.98918119527969;4.214571672590356
1013;1013;1;1948.0;51.0;14403;[8.331597583836701E-4, 0.019926404221342776, 0.14844129695202388, 0.8307991390682496];0.0;0.0;0.43601524632846145;0.022603554419322713;33.74687775829242;4.03510316101553
1014;1014;1;1941.0;51.0;14755;[6.777363605557439E-4, 0.025618434429007117, 0.1545238902067096, 0.8191799390037275];0.0;0.0;0.45687525976261195;0.025372799762651083;33.68761408352329;4.198448914830394
1015;1015;1;1997.0;51.0;15118;[3.307315782510914E-4, 0.026127794681836222, 0.17740441857388545, 0.7961370551660273];0.0;0.0;0.44474180111433304;0.030436559469156757;33.33374901726019;4.111392434311756
1016;1016;1;2026.0;51.0;14638;[0.0028692444322994943, 0.0614838092635606, 0.2861046591064353, 0.6495422871977046];0.0;0.0;0.447454043270221;0.043605317352077476;31.582284642096127;4.297899554300998
1017;1017;1;1969.0;51.0;14762;[0.010296707763175721, 0.18364720227611434, 0.43761007993496814, 0.3684460100257418];0.0;0.0;0.4109980007213613;0.06895313620492548;28.558456360037336;4.175012316040688
1018;1018;1;1996.0;51.0;14365;[0.010650887573964497, 0.18336233901844762, 0.430073094326488, 0.3759136790810999];0.0;0.0;0.40551104228566504;0.0729533739582549;28.63727067160158;4.29166272219395
1019;1019;1;1977.0;51.0;14674;[0.004702194357366771, 0.0916587160964972, 0.30250783699059564, 0.6011312525555405];0.0;0.0;0.45501393044906857;0.05959705171070029;30.961862368104846;4.48222742763363
102;102;1;1980.0;51.0;14676;[0.06425456527664214, 0.4901199236849278, 0.3584082856364132, 0.0872172254020169];0.0;0.0;0.002556843730340866;0.23837740898179458;24.506148003206476;4.003089577856615
1020;1020;1;1972.0;51.0;15008;[0.001665778251599147, 0.03584754797441365, 0.19496268656716417, 0.767523987206823];0.0;0.0;0.460090311156328;0.05115084518699135;33.014672185816956;4.260567559554163
1021;1021;1;1992.0;51.0;14865;[0.0014127144298688194, 0.020248906828119743, 0.12122435250588631, 0.8571140262361251];0.0;0.0;0.4672217127637374;0.04754394044539949;34.308567493018224;4.16365272117076
1022;1022;1;1987.0;51.0;14412;[0.0024285317790729948, 0.03538717735220649, 0.14023036358590063, 0.8219539272828199];0.0;0.0;0.4828739613047348;0.05247759259683226;33.906046268497256;4.494998033878339
1023;1023;1;1946.0;51.0;14517;[0.002548735964731005, 0.04704828821381828, 0.19928359853964317, 0.7511193772818076];0.0;0.0;0.45472952595439275;0.06317527046138528;32.8400829538522;4.441374495291291
1024;1024;1;1986.0;51.0;14847;[0.005927123324577356, 0.10406142655081835, 0.32841651512089987, 0.5615949350037045];0.0;0.0;0.43763575050664916;0.08756602805236678;30.55810079147287;4.463631721864294
1025;1025;1;1994.0;51.0;14415;[0.023100936524453695, 0.2372528616024974, 0.4251821019771072, 0.3144640998959417];0.0;0.0;0.3966547284240573;0.12030646568713083;27.756579664301928;4.467957697620105
1026;1026;1;1987.0;51.0;14520;[0.014738292011019285, 0.20771349862258953, 0.41487603305785126, 0.36267217630853993];0.0;0.0;0.4033901577680823;0.11792778132488217;28.38186227148594;4.437995027384978
1027;1027;1;1995.0;51.0;14775;[0.007851099830795263, 0.11499153976311337, 0.3285279187817259, 0.5486294416243654];0.0;0.0;0.4237928833806132;0.10474361355804855;30.32736349571994;4.547309736095019
1028;1028;1;2059.0;51.0;14884;[0.006181134103735555, 0.0665815640956732, 0.21895995700080623, 0.708277344799785];0.0;0.0;0.46402985604653946;0.08943228660012303;32.20561277828845;4.696999357850994
1029;1029;1;1970.0;51.0;14522;[0.012394986916402699, 0.06479823715741634, 0.1633383831428178, 0.7594683927833632];0.0;0.0;0.478758557711595;0.08254468441713395;32.95588408973558;5.126604220360623
103;103;1;1977.0;51.0;14635;[0.06894431158182439, 0.4781004441407585, 0.36802186539118553, 0.08493337888623163];0.0;0.0;0.003040878771352929;0.23702327880581053;24.51554129933134;4.040382779501046
1030;1030;1;2002.0;51.0;14484;[0.0095967964650649, 0.05647611157138912, 0.1512703673018503, 0.7826567246616957];0.0;0.0;0.457630952070035;0.08747782350735013;33.11042228114835;4.849124884964354
1031;1031;1;1977.0;51.0;14444;[0.015577402381611741, 0.12171143727499308, 0.28115480476322346, 0.5815563555801717];0.0;0.0;0.44013018403673404;0.1143641395650893;30.65385713117206;5.051991220548874
1032;1032;1;2022.0;51.0;14942;[0.033529647972159016, 0.24260473832150983, 0.3684245750234239, 0.3554410386829072];0.0;0.0;0.3852444065862805;0.1540321755035782;27.9580743583765;4.973305547837016
1033;1033;1;1984.0;51.0;14278;[0.05350889480319372, 0.3536909931362936, 0.38366718027734975, 0.20913293178316292];0.0;0.0;0.37927573291289607;0.1805679480745546;26.148585046698596;4.712430240347916
1034;1034;1;2012.0;51.0;14483;[0.04840157425947663, 0.359179727956915, 0.3871435476075399, 0.20527515017606848];0.0;0.0;0.3849102925288286;0.18430222697274848;26.129248797347636;4.613255872744574
1035;1035;1;2007.0;51.0;14455;[0.07346938775510205, 0.3456243514354895, 0.3476997578692494, 0.23320650294015913];0.0;0.0;0.3835529395080773;0.17336676651004487;26.076208955259716;5.21824447680827
1036;1036;1;1992.0;51.0;14731;[0.10807141402484556, 0.30927975018668113, 0.29176566424546874, 0.2908831715430045];0.0;0.0;0.38638905958804065;0.15439821387585995;26.269181096201653;6.072190812810899
1037;1037;1;2008.0;51.0;14507;[0.12256152202385055, 0.23381815675191286, 0.22637347487419865, 0.4172468463500379];0.0;0.0;0.41771024343711755;0.12937064728209854;27.603293694495033;7.132845650833427
1038;1038;1;2008.0;51.0;14431;[0.09777562192502252, 0.16720947959254384, 0.20248077056337052, 0.5325341279190632];0.0;0.0;0.4294101167648803;0.1269468630457611;29.207679784276916;7.139364759207607
1039;1039;1;2057.0;51.0;14352;[0.059782608695652176, 0.22874860646599776, 0.30678651059085843, 0.40468227424749165];0.0;0.0;0.3921133241768172;0.1640869454951412;28.135254783580294;5.860302502092524
104;104;1;2019.0;51.0;14404;[0.06984171063593446, 0.47327131352402113, 0.3737850597056373, 0.08310191613440711];0.0;0.0;0.0034337016247540965;0.2254022985608151;24.519673676065935;4.015272236954117
1040;1040;1;2005.0;51.0;14579;[0.040400576171205155, 0.24823376088894986, 0.34508539680362166, 0.36628026613622333];0.0;0.0;0.3813932480067715;0.18694950221090184;27.939636438518594;5.250950869609148
1041;1041;1;2013.0;51.0;14369;[0.0321525506298281, 0.27949056997703386, 0.3945298907370033, 0.2938269886561347];0.0;0.0;0.3779200374733163;0.22033706263584182;27.335884124317403;4.715689669378245
1042;1042;1;1995.0;51.0;14838;[0.0509502628386575, 0.3122388462056881, 0.38462056880981266, 0.25219032214584175];0.0;0.0;0.3688591512521331;0.22563544517046802;26.647260405561973;4.862970825239482
1043;1043;1;1990.0;51.0;14709;[0.01849207967910803, 0.14168196342375416, 0.30722686790400433, 0.5325990889931335];0.0;0.0;0.39803842007493234;0.1892902530108642;30.012068547633675;5.009635725276114
1044;1044;1;1984.0;51.0;14376;[0.007025598219254313, 0.07220367278797997, 0.1942821368948247, 0.726488592097941];0.0;0.0;0.43612304520545603;0.14949112917682603;32.40451745092387;4.825584222011282
1045;1045;1;1961.0;51.0;14863;[0.01056314337616901, 0.044876539056718026, 0.10576599609769226, 0.8387943214694207];0.0;0.0;0.44001755310417695;0.13760482350530429;34.01075534580838;4.857400798808601
1046;1046;1;1997.0;51.0;14428;[0.00817854172442473, 0.02987247019683948, 0.0825478236761852, 0.8794011644025506];0.0;0.0;0.4693687072851127;0.13169779785709693;34.83568698361416;4.634010278547343
1047;1047;1;1999.0;51.0;14602;[0.005752636625119847, 0.04143268045473223, 0.13737844130940968, 0.8154362416107382];0.0;0.0;0.4645863191718428;0.1467444622217416;33.64150134571343;4.535553625819185
1048;1048;1;2028.0;51.0;14461;[0.005186363322038586, 0.051725330198464835, 0.19936380609916327, 0.7437245003803333];0.0;0.0;0.4479970590218892;0.17013887139160044;32.490727670821364;4.413158444975189
1049;1049;1;1994.0;51.0;14522;[0.005784327227654593, 0.11031538355598403, 0.31517697286875085, 0.5687233163476105];0.0;0.0;0.4022997867723257;0.23018001338160649;30.459616890161982;4.410054404810694
105;105;1;1967.0;51.0;14853;[0.06503736618864876, 0.46266747458425905, 0.3797212684306201, 0.09257389079647209];0.0;0.0;0.003951625342750918;0.22130838239921313;24.682616480558796;4.042663329318033
1050;1050;1;1953.0;51.0;14973;[0.009016229212582648, 0.13878314299071662, 0.3657249716155747, 0.48647565618112604];0.0;0.0;0.39203160094447;0.25008073269417347;29.639010615237463;4.401419370581805
1051;1051;1;2031.0;51.0;14434;[0.002909796314258002, 0.04350838298461965, 0.18241651655812666, 0.7711653041429957];0.0;0.0;0.44896889275159396;0.18360648594919274;32.825768884102395;4.239680736860421
1052;1052;1;1971.0;51.0;14433;[0.0016628559551028891, 0.02030069978521444, 0.079332086191367, 0.8987043580683156];0.0;0.0;0.5109301133121669;0.15821076362593706;34.91409959415405;4.0261708710481985
1053;1053;1;1976.0;51.0;14503;[0.0011032200234434254, 0.01144590774322554, 0.04164655588498931, 0.9458043163483417];0.0;0.0;0.5408601231087949;0.14061378399723057;36.26441831661689;3.8239831694094053
