iteration;replicate;time;last_generation;population;bmi_category_prop;am_bmi;am_pgs;genetic_variance;vertical_trans_variance;average_bmi;sd_bmi
1;1;2058.0;51.0;14711;[0.05499286248385562, 0.3242471619876283, 0.4621711644347767, 0.15858881109373937];0.0;0.0;0.0;1.0;25.746821440118687;4.127834276461389
10;1;2072.0;51.0;14547;[0.07410462638344675, 0.368392108338489, 0.42661717192548293, 0.13088609335258128];0.0;0.0;0.0;1.0;25.167586466601875;4.200411106695231
100;1;1941.0;51.0;14837;[0.03888926332816607, 0.2516681269798477, 0.5302958819168295, 0.1791467277751567];0.0;0.0;0.0;1.0;26.353778730072012;3.913584886630012
1000;1;1993.0;51.0;14677;[0.06649860325679635, 0.36008721128295973, 0.44729849424269263, 0.12611569121755128];0.0;0.0;0.0;1.0;25.290877197112597;4.1192369051022055
1001;1;2013.0;52.0;14729;[0.07237422771403354, 0.3355964423925589, 0.4459909023015819, 0.14603842759182564];0.0;0.0;0.0;1.0;25.41712811854711;4.221965905268871
1002;1;1973.0;51.0;15066;[0.06464887826894995, 0.37422009823443514, 0.4532722686844551, 0.10785875481215983];0.0;0.0;0.0;1.0;25.127231923655327;3.9838038087702494
1003;1;1986.0;51.0;14720;[0.05455163043478261, 0.37296195652173914, 0.4454483695652174, 0.12703804347826086];0.0;0.0;0.0;1.0;25.346009780897887;4.042087885748871
1004;1;1965.0;51.0;14434;[0.05590965775252875, 0.33303311625329085, 0.46224192877927117, 0.14881529721490924];0.0;0.0;0.0;1.0;25.626600851113334;4.069036418510523
1005;1;1983.0;51.0;14499;[0.0718670253120905, 0.36761155941789087, 0.43478860611076625, 0.12573280915925236];0.0;0.0;0.0;1.0;25.205721686528083;4.161671039515581
1006;1;2020.0;51.0;14966;[0.0662835761058399, 0.33736469330482427, 0.4603100360817854, 0.13604169450755044];0.0;0.0;0.0;1.0;25.444430240545;4.132565327820338
1007;1;1998.0;51.0;14350;[0.06466898954703833, 0.35289198606271777, 0.4513588850174216, 0.1310801393728223];0.0;0.0;0.0;1.0;25.381383525978297;4.074621653230158
1008;1;1945.0;51.0;14660;[0.051568894952251025, 0.3153478854024557, 0.47926330150068214, 0.15381991814461118];0.0;0.0;0.0;1.0;25.804918914374117;4.078506566732321
1009;1;1969.0;51.0;14701;[0.07448472893000477, 0.36065573770491804, 0.43711312155635673, 0.12774641180872048];0.0;0.0;0.0;1.0;25.191790875736423;4.1740406052975
101;1;2030.0;51.0;14951;[0.0375225737408869, 0.28205471205939403, 0.5127416226339375, 0.16768109156578156];0.0;0.0;0.0;1.0;26.162998318916618;3.902233061782415
1010;1;1991.0;51.0;14597;[0.06816469137494005, 0.38028361992190174, 0.43796670548742894, 0.11358498321572925];0.0;0.0;0.0;1.0;25.107976088037233;4.059521692668147
1011;1;1972.0;51.0;14802;[0.09633833265774895, 0.4035265504661532, 0.40589109579786514, 0.09424402107823267];0.0;0.0;0.0;1.0;24.608601857880508;4.184794898056405
1012;1;1924.0;51.0;14705;[0.06609996599795988, 0.3632777966678001, 0.437062223733424, 0.13356001360081604];0.0;0.0;0.0;1.0;25.283956177540194;4.1511233982689175
