iteration;iteration_exp;replicate;time;last_generation;population;bmi_category_prop;am_bmi;am_pgs;genetic_variance;vertical_trans_variance;average_bmi;sd_bmi
1;1;1;2021.0;51.0;14629;[0.049832524437760616, 0.24806890423132136, 0.4951808052498462, 0.20691776608107185];0.0;0.0;0.0;1.0;26.39393284618755;4.17856011332513
10;10;1;2036.0;51.0;14597;[0.07857778995684045, 0.39302596423922725, 0.4203603480167158, 0.10803589778721655];0.0;0.0;0.0;1.0;24.87513462061691;4.157491691383293
100;100;1;1926.0;51.0;14425;[0.059549393414211435, 0.3204852686308492, 0.4770883882149047, 0.14287694974003468];0.0;0.0;0.0;1.0;25.657917559244034;4.0827952737292295
1000;1000;1;1933.0;51.0;15025;[0.05770382695507487, 0.353477537437604, 0.4453910149750416, 0.14342762063227954];0.0;0.0;0.0;1.0;25.490211564613446;4.1024941740871
10000;10000;1;1987.0;51.0;14969;[0.026989110829046696, 0.2288061994789231, 0.5469303226668448, 0.1972743670251854];0.0;0.0;0.0;1.0;26.67797007398558;3.7748962502054204
10001;10001;1;1984.0;51.0;14898;[0.05947106994227413, 0.49845616861323666, 0.37904416700228216, 0.06302859444220701];0.0;0.0;0.0;1.0;24.353729812404726;3.797998942089416
10002;10002;1;1998.0;51.0;14591;[0.02501542046467, 0.39332465218285245, 0.514700842985402, 0.0669590843670756];0.0;0.0;0.0;1.0;25.27813907677927;3.4834903321907644
10003;10003;1;1997.0;51.0;14439;[0.07029572685088994, 0.3892236304453217, 0.4220513886003186, 0.11842925410346977];0.0;0.0;0.0;1.0;25.092498067846506;4.125971952817403
10004;10004;1;1985.0;51.0;15066;[7.964954201513341E-4, 0.03511217310500465, 0.42585955130757996, 0.538231780167264];0.0;0.0;0.0;1.0;29.463091272319097;3.0257217513256784
10005;10005;1;1989.0;51.0;14604;[0.06080525883319639, 0.37701999452204876, 0.4324157764995892, 0.12975897014516571];0.0;0.0;0.0;1.0;25.269492620276775;4.105298722996702
10006;10006;1;1957.0;51.0;14418;[0.03245942571785269, 0.3607296435011791, 0.4600499375780275, 0.14676099320294078];0.0;0.0;0.0;1.0;25.75579661816746;3.9878219875030134
10007;10007;1;1995.0;51.0;14842;[0.05922382428244172, 0.37697075865786284, 0.43599245384719043, 0.12781296321250504];0.0;0.0;0.0;1.0;25.27477696469842;4.097702250858476
10008;10008;1;1960.0;51.0;15047;[0.062072173855253536, 0.39296869807935136, 0.43816043065062804, 0.10679869741476707];0.0;0.0;0.0;1.0;25.09875966200233;3.9985181888132466
10009;10009;1;2006.0;51.0;14316;[0.07320480581167924, 0.36944677284157584, 0.4321737915618888, 0.1251746297848561];0.0;0.0;0.0;1.0;25.1626257434577;4.178635335401028
1001;1001;1;1971.0;51.0;14641;[0.07226282357762448, 0.4087835530359948, 0.4182091387200328, 0.10074448466634793];0.0;0.0;0.0;1.0;24.82837004371148;4.048492001588924
